"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in","first_P_start","Q_response_time_hr"
"21","AO1","Frozen","Storm","2022-1",2021-12-16 04:30:00,2021-12-16 08:15:00,5300,0.91,0.54,2.133,0.2531,2.4,1.32,0.58,0.51,0.06,0.06,0.06,0.06,22.2,967032,0.0657682475864294,2021-12-16 03:48:00,0.7
"22","AO1","Frozen","Storm","2022-2",2022-03-06 05:01:00,2022-03-06 21:44:00,1524,0.0453,0.89,19.9,0.04472,0.96,0.66,0.36,0.32,0,0,0,0,22.2,967032,0.018911473456928,2022-03-05 15:02:00,13.9833333333333
"23","AO1","Frozen","Storm","2022-3",2022-03-16 20:45:00,2022-03-20 21:15:00,272700,1.995,0,NA,NA,NA,NA,NA,NA,0,0,0,0.89,22.2,967032,3.38396247487157,NA,NA
"24","AO1","Frozen","Storm","2022-4",2022-03-23 06:45:00,2022-03-23 13:30:00,6481,0.6326,0,NA,NA,NA,NA,NA,NA,0.07,0.37,0.37,0.37,22.2,967032,0.0804233986052168,2022-03-22 15:27:00,15.3
"25","AO1","Frozen","Storm","2022-5",2022-04-01 19:15:00,2022-04-02 07:15:00,5562,0.531,0,NA,NA,NA,NA,NA,NA,0,0.03,0.06,1.7,22.2,967032,0.0690194326557963,NA,NA
"26","AO1","Frozen","Storm","2022-6",2022-04-02 17:15:00,2022-04-03 03:30:00,1204,0.0741,0.07,11.2,0.00625,0.12,0.06,0.02,0.02,0,0,0.06,1.7,22.2,967032,0.0149405603951058,2022-04-02 14:58:00,2.28333333333333
"27","AO1","Frozen","Storm","2022-7",2022-04-03 16:45:00,2022-04-03 19:45:00,177.8,0.0262,0,NA,NA,NA,NA,NA,NA,0.05,0.07,0.13,1.77,22.2,967032,0.00220633856997493,NA,NA
"28","AO1","Frozen","Storm","2022-8",2022-04-04 22:00:00,2022-04-05,216.9,0.0582,0,NA,NA,NA,NA,NA,NA,0.04,0.08,0.17,1.52,22.2,967032,0.00269153450971633,NA,NA
"29","AO1","Frozen","Storm","2022-9",2022-04-06 08:45:00,2022-04-06 12:00:00,133.1,0.0228,0.38,8.233,0.04615,0.24,0.18,0.14,0.11,0.01,0.05,0.18,1.45,22.2,967032,0.00165165165165165,2022-04-06 01:58:00,6.78333333333333
"30","AO1","Frozen","Storm","2023-1",2023-02-15 06:45:00,2023-02-17 00:36:00,26930,1.024,0.67,15.12,0.04432,0.48,0.42,0.22,0.15,0,0,0,0,22.2,967032,0.334177152358971,2023-02-14 19:33:00,11.2
"31","AO1","Frozen","Storm","2023-2",2023-03-27 18:45:00,2023-03-28 00:56:00,280.5,0.0228,0,NA,NA,NA,NA,NA,NA,0,0,0,0.18,22.2,967032,0.00348075348075348,NA,NA
"32","AO1","Frozen","Storm","2023-3",2023-03-31 11:22:00,2023-04-01 08:59:00,3083,0.0773,1.57,19.83,0.07916,0.48,0.42,0.36,0.33,0,0,0,0,22.2,967032,0.0382572655299928,2023-03-31 08:42:00,2.66666666666667
"33","AO1","Frozen","Storm","2023-4",2023-04-03 15:56:00,2023-04-11 23:30:00,892400,11.34,0.51,22.05,0.02313,0.96,0.54,0.34,0.28,0,0,1.57,1.57,22.2,967032,11.0738838011565,NA,NA
"34","AO1","Non-Frozen","Storm","2023-5",2023-06-03 20:48:00,2023-06-03 21:11:00,34.5,0.0588,0.81,0.7167,1.13,4.44,3.6,1.54,0.81,0,0,0,0,22.2,967032,0.000428114064477701,2023-06-03 20:24:00,0.4
"35","AO1","Non-Frozen","Storm","2023-6",2023-07-29 00:56:00,2023-07-29 02:00:00,1165,0.6054,1.41,1.083,1.302,2.64,2.46,1.38,1.34,0.7,0.7,1.47,2.29,22.2,967032,0.0144566053656963,2023-07-28 22:10:00,2.76666666666667
"36","AO3","Frozen","Storm","2021-1",2021-03-11 02:15:00,2021-03-12 03:04:00,158800,5.964,0.19,1.933,0.09828,0.48,0.36,0.24,0.14,0.62,0.62,0.62,0.64,22.4,975744,1.95297127115309,2021-03-11 02:05:00,0.166666666666667
"37","AO3","Non-Frozen","Storm","2021-2",2021-04-07 03:58:00,2021-04-07 04:42:00,94,0.09639,0.8,2.25,0.3556,2.64,1.74,0.82,0.7,0.5,0.5,0.5,1.17,22.4,975744,0.0011560409287682,2021-04-06 22:29:00,5.48333333333333
"38","AO3","Non-Frozen","Storm","2021-3",2021-05-25 01:24:00,2021-05-26 02:08:00,16760,12.89,1.11,24.23,0.0458,3.36,1.86,0.82,0.5,0.02,0.04,0.86,1.02,22.4,975744,0.20611963793782,2021-05-25 00:37:00,0.783333333333333
"39","AO3","Non-Frozen","Storm","2021-4",2021-05-27 21:55:00,2021-05-28 02:45:00,93.2,0.01161,0.49,9.083,0.05394,0.12,0.12,0.1,0.08,0,0.64,1.36,2.13,22.4,975744,0.00114620228256592,2021-05-27 14:19:00,7.6
"40","AO3","Non-Frozen","Storm","2021-5",2021-05-31 21:30:00,2021-06-01 01:37:00,15350,6.924,0.66,2.383,0.2769,1.68,1.26,0.78,0.41,0,0.02,1.62,2.48,22.4,975744,0.188779024006297,NA,NA
"41","AO3","Non-Frozen","Storm","2021-6",2021-06-09 01:15:00,2021-06-09 03:18:00,14810,10.71,0.79,2.533,0.3118,1.44,1.26,0.94,0.63,0,0,0.04,1.25,22.4,975744,0.182137937819756,2021-06-09 00:40:00,0.583333333333333
"42","AO3","Non-Frozen","Storm","2021-7",2021-06-10 23:57:00,2021-06-11 20:57:00,24040,14.42,0.33,20.55,0.01606,0.48,0.3,0.16,0.11,0,0.8,0.8,1.59,22.4,975744,0.295651318378591,2021-06-10 23:43:00,0.233333333333333
"43","AO3","Non-Frozen","Storm","2021-8",2021-06-21 02:11:00,2021-06-21 06:00:00,14640,6.433,1.01,8.317,0.1214,0.96,0.72,0.62,0.44,0,0.02,0.1,1.23,22.4,975744,0.180047225501771,2021-06-20 20:43:00,5.46666666666667
"44","AO3","Non-Frozen","Storm","2021-9",2021-06-27 07:11:00,2021-06-27 09:15:00,180,0.05117,0.58,9.1,0.06374,0.36,0.36,0.2,0.15,0.12,0.12,1.45,1.55,22.4,975744,0.00221369539551358,2021-06-26 23:53:00,7.3
"45","AO3","Non-Frozen","Storm","2021-10",2021-06-29 20:18:00,2021-06-29 22:25:00,4385,3.643,0.93,1.85,0.5027,3.96,3.18,1.58,0.86,0.16,0.16,1.21,2.3,22.4,975744,0.0539280794962613,2021-06-29 19:51:00,0.45
"46","AO3","Non-Frozen","Storm","2021-11",2021-07-05 19:54:00,2021-07-05 21:07:00,1003,1.594,0.37,0.2333,1.586,2.4,1.98,0.74,0.37,0,0,1.1,2.15,22.4,975744,0.0123352026761118,2021-07-05 19:42:00,0.2
"47","AO3","Non-Frozen","Storm","2021-12",2021-07-06 20:50:00,2021-07-07 17:00:00,7483,3.867,1.54,19.33,0.07966,4.2,2.88,1,0.5,0.06,0.43,0.55,2.58,22.4,975744,0.0920282369146006,2021-07-06 19:19:00,1.51666666666667
"48","AO3","Non-Frozen","Storm","2021-13",2021-07-14 20:50:00,2021-07-15 02:45:00,298.8,0.09417,0.63,6.467,0.09742,0.84,0.6,0.44,0.28,0,0,0,1.97,22.4,975744,0.00367473435655254,2021-07-14 17:55:00,2.91666666666667
"49","AO3","Non-Frozen","Storm","2021-14",2021-07-20 08:15:00,2021-07-24 15:00:00,6758,2.775,1.03,31.62,0.03258,1.68,1.56,0.94,0.65,0,0,0,0.66,22.4,975744,0.083111963793782,NA,NA
"50","AO3","Non-Frozen","Storm","2021-15",2021-07-27 07:48:00,2021-07-27 13:30:00,2591,0.8418,0.9,7.1,0.1268,1.08,1.02,0.6,0.37,0,0,1.03,1.69,22.4,975744,0.0318649153876427,2021-07-27 04:37:00,3.18333333333333
"51","AO3","Non-Frozen","Storm","2021-16",2021-07-29 01:53:00,2021-07-29 04:45:00,423,0.3547,0.25,1.817,0.1376,0.84,0.6,0.34,0.21,0.05,0.95,1.98,2.14,22.4,975744,0.00520218417945691,2021-07-29 00:49:00,1.06666666666667
"52","AO3","Non-Frozen","Storm","2021-17",2021-08-08 02:06:00,2021-08-09 10:45:00,14440,5.649,2.63,37.42,0.07029,4.44,3.3,1.3,0.8,0,0.04,0.1,1.31,22.4,975744,0.1775875639512,2021-08-07 19:43:00,6.38333333333333
"53","AO3","Non-Frozen","Storm","2021-18",2021-08-11 18:20:00,2021-08-11 21:45:00,4327,3.316,0.63,1.6,0.3938,3.12,2.52,1.22,0.61,0,0,2.67,3.04,22.4,975744,0.0532147776465958,2021-08-11 17:07:00,1.21666666666667
"54","AO3","Non-Frozen","Storm","2021-19",2021-08-24 15:59:00,2021-08-24 20:00:00,915,0.2588,0.67,3.817,0.1755,1.08,0.66,0.34,0.29,0,0,0,0.65,22.4,975744,0.0112529515938607,2021-08-24 14:32:00,1.45
"55","AO3","Non-Frozen","Storm","2021-20",2021-08-27 06:43:00,2021-08-27 20:45:00,412.4,0.09207,0.64,16.35,0.03914,0.36,0.3,0.24,0.22,0,0,0.67,0.67,22.4,975744,0.00507182211727666,2021-08-27 04:03:00,2.66666666666667
"56","AO3","Non-Frozen","Storm","2021-21",2021-08-29 06:21:00,2021-08-29 12:00:00,5523,3.109,0.68,4.167,0.1632,2.64,2.04,0.98,0.55,0,0.64,1.46,1.46,22.4,975744,0.0679235537190083,2021-08-29 05:59:00,0.366666666666667
"57","AO3","Non-Frozen","Storm","2021-22",2021-09-07 10:23:00,2021-09-07 12:30:00,1282,0.8109,0.36,0.5833,0.6171,1.68,1.26,0.68,0.36,0,0.02,0.14,2.28,22.4,975744,0.0157664305391578,2021-09-07 10:06:00,0.283333333333333
"58","AO3","Non-Frozen","Storm","2021-23",2021-09-14 08:45:00,2021-09-14 10:30:00,122.2,0.08048,0.22,1.083,0.2031,0.72,0.48,0.3,0.19,0,0,0.37,0.51,22.4,975744,0.00150285320739866,2021-09-14 08:09:00,0.6
"59","AO3","Non-Frozen","Storm","2021-24",2021-09-21 01:55:00,2021-09-21 05:15:00,14520,6.473,1.01,3.283,0.3076,3,2.52,1.6,0.92,0,0,0.22,0.59,22.4,975744,0.178571428571429,2021-09-21 00:52:00,1.05
"60","AO3","Non-Frozen","Storm","2021-25",2021-09-24 23:53:00,2021-09-25 02:45:00,209,0.0553,0.39,3.1,0.1258,0.36,0.3,0.26,0.21,0,0,1.01,1.23,22.4,975744,0.00257034632034632,2021-09-24 21:51:00,2.03333333333333
"61","AO3","Non-Frozen","Storm","2022-1",2021-10-03 22:04:00,2021-10-03 23:15:00,316.4,0.2405,0.29,1.133,0.2559,1.68,0.96,0.54,0.28,0.01,0.29,0.29,1.69,22.4,975744,0.00389118457300276,2021-10-03 21:43:00,0.35
"62","AO3","Non-Frozen","Storm","2022-2",2021-10-12 06:49:00,2021-10-12 09:30:00,266.1,0.1024,0.59,6.917,0.0853,0.72,0.72,0.54,0.36,0.02,0.05,0.06,0.65,22.4,975744,0.00327257969303424,2021-10-12 01:43:00,5.1
"63","AO3","Non-Frozen","Storm","2022-3",2021-11-11 16:30:00,2021-11-11 19:15:00,124.3,0.0273,0.48,3.5,0.1371,0.36,0.3,0.22,0.19,0.29,0.29,0.29,0.34,22.4,975744,0.00152867965367965,2021-11-11 10:01:00,6.48333333333333
"64","AO3","Frozen","Storm","2022-4",2021-12-16 04:56:00,2021-12-16 20:52:00,6319,0.3702,0.51,3.15,0.1619,2.4,1.32,0.54,0.47,0.05,0.05,0.05,0.05,22.4,975744,0.0777130066902794,2021-12-16 03:48:00,1.13333333333333
"65","AO3","Frozen","Storm","2022-5",2022-03-08 22:15:00,2022-03-09 05:45:00,322.7,0.0166,0,NA,NA,NA,NA,NA,NA,0,0,0.7,0.7,22.4,975744,0.00396866391184573,NA,NA
