"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"381","DK1A","Non-Frozen","Non-storm","2020-14","11/22/2019 18:00","11/27/2019 7:00",5558,0.0216,0.17,2.75,0.06182,0.48,0.48,0.4,0.3,0,0,0.56,0.58,19.4,845064,0.0789241998239187
"382","DK1A","Non-Frozen","Storm","2020-15","11/27/2019 7:00","11/30/2019 23:00",11890,0.0801,1.61,90.75,0.01774,0.48,0.48,0.4,0.33,0,0,0.56,0.58,19.4,845064,0.168839283178552
"383","DK1A","Non-Frozen","Storm","2020-16","11/30/2019 23:00","12/3/2019 15:00",8252,0.0505,0.22,7.75,0.02839,0.24,0.18,0.12,0.09,0,0,1.57,2.15,19.4,845064,0.117179290562608
"384","DK1A","Non-Frozen","Non-storm","2020-17","12/3/2019 15:00","12/16/2019 18:00",18260,0.0277,0.04,5.667,0.007059,0.12,0.06,0.04,0.02,0,0,0,1.79,19.4,845064,0.259293970634177
"385","DK1A","Non-Frozen","Non-storm","2020-18","12/16/2019 18:00","12/24/2019 16:00",4996,0.0098,0,NA,NA,NA,NA,NA,NA,0,0,0.02,0.04,19.4,845064,0.0709437391724177
"386","DK1A","Non-Frozen","Storm","2020-19","12/24/2019 16:00","12/29/2019 7:30",9125,0.0352,0.08,6.917,0.01157,0.24,0.24,0.12,0.1,0,0,0,0,19.4,845064,0.129575984777484
"387","DK1A","Non-Frozen","Storm","2020-20","12/29/2019 7:30","1/2/2020 17:00",19250,0.0984,1.96,98.5,0.0199,0.36,0.36,0.34,0.3,0.03,0.03,0.03,0.03,19.4,845064,0.273352077475789
"388","DK1A","Non-Frozen","Storm","2020-21","1/2/2020 17:00","1/3/2020 20:00",3696,0.0528,0,NA,NA,NA,NA,NA,NA,0.08,0.08,1.99,1.99,19.4,845064,0.0524835988753515
"389","DK1A","Frozen","Non-storm","2020-22","1/3/2020 20:00","1/9/2020 6:00",6421,0.0295,0,NA,NA,NA,NA,NA,NA,0,0.08,1.99,1.99,19.4,845064,0.0911788929595865
"390","DK1A","Frozen","Non-storm","2020-23","1/9/2020 6:00","1/24/2020 19:00",8102,0.0091,0.16,341.2,0.0004689,0.24,0.12,0.1,0.07,0,0,0,1.99,19.4,845064,0.115049274374485
"391","DK1A","Frozen","Storm","2020-24","1/24/2020 19:00","2/2/2020 20:00",9740,0.0171,0.17,29.42,0.005779,0.12,0.12,0.08,0.05,0.02,0.11,0.12,0.12,19.4,845064,0.138309051148789
"392","DK1A","Frozen","Storm","2020-25","2/2/2020 20:00","2/4/2020 18:00",3238,0.0277,0,NA,NA,NA,NA,NA,NA,0,0,0,0.29,19.4,845064,0.0459799494476158
"393","DK1A","Frozen","Non-storm","2020-26","2/4/2020 18:00","3/2/2020 19:00",12320,0.0152,0,NA,NA,NA,NA,NA,NA,0,0,0,0.29,19.4,845064,0.174945329584505
"394","DK1A","Frozen","Storm","2020-27","3/2/2020 19:00","3/5/2020 18:00",1848,0.0109,0.02,0.4167,0.048,0.12,0.06,0.04,0.02,0,0,0,0,19.4,845064,0.0262417994376757
"395","DK1A","Frozen","Storm","2020-28","3/5/2020 18:00","3/8/2020 11:00",5526,0.0349,0.01,NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.02,19.4,845064,0.0784697963704524
"396","DK1A","Non-Frozen","Storm","2020-29","3/8/2020 11:00","3/10/2020 12:30",8481,0.0754,0.64,14.75,0.04339,0.12,0.12,0.12,0.12,0,0,0.03,0.03,19.4,845064,0.120431115276476
"397","DK1A","Non-Frozen","Storm","2020-30","3/10/2020 12:30","3/12/2020 5:00",8282,0.0838,0.01,NA,NA,NA,NA,NA,NA,0.62,0.64,0.67,0.67,19.4,845064,0.117605293800233
"398","DK1A","Non-Frozen","Storm","2020-31","3/12/2020 5:00","3/15/2020 5:00",11430,0.0783,0.13,9.5,0.01368,0.24,0.12,0.08,0.06,0,0.01,0.66,0.68,19.4,845064,0.162307233534975
"399","DK1A","Non-Frozen","Non-storm","2020-32","3/15/2020 5:00","3/19/2020 20:30",7555,0.0236,0.09,0.3333,0.27,0.72,0.6,0.36,0.18,0,0,0.04,0.79,19.4,845064,0.107281815341797
"400","DK1A","Non-Frozen","Storm","2020-33","3/19/2020 20:30","3/22/2020 1:00",11790,0.119,1.64,13.83,0.1186,0.72,0.6,0.42,0.36,0,0,0.04,0.79,19.4,845064,0.16741927238647
"401","DK1A","Non-Frozen","Non-storm","2020-34","3/22/2020 1:00","3/26/2020 0:15",6456,0.0277,0.13,2.083,0.0624,0.48,0.36,0.32,0.18,0,0,1.64,1.77,19.4,845064,0.0916758967368152
"402","DK1A","Non-Frozen","Storm","2020-35","3/26/2020 0:15","3/26/2020 12:00",2228,0.0771,0.61,9.25,0.06595,0.48,0.36,0.32,0.25,0,0,1.64,1.77,19.4,845064,0.0316378404475874
"403","DK1A","Non-Frozen","Non-storm","2020-36","3/26/2020 12:00","3/28/2020 22:00",6347,0.0487,0.23,14.58,0.01577,0.24,0.24,0.18,0.14,0,0.01,0.61,2.25,19.4,845064,0.0901280849734458
"404","DK1A","Non-Frozen","Storm","2020-37","3/28/2020 22:00","3/30/2020 7:30",9270,0.119,0.79,31.5,0.02508,0.84,0.6,0.34,0.26,0.22,0.22,0.83,2.47,19.4,845064,0.131635000426003
"405","DK1A","Non-Frozen","Non-storm","2020-38","3/30/2020 7:30","4/7/2020 20:20",12850,0.0494,0.22,88.25,0.002493,0.72,0.36,0.16,0.1,0,0,1.01,1.62,19.4,845064,0.18247138678254
"406","DK1A","Non-Frozen","Storm","2020-39","4/7/2020 20:20","4/8/2020 11:00",1528,0.0509,0.4,13.75,0.02909,2.64,2.04,0.82,0.42,0.01,0.01,0.19,1.81,19.4,845064,0.0216977649030133
"407","DK1A","Non-Frozen","Non-storm","2020-40","4/8/2020 11:00","4/18/2020 5:00",10250,0.026,0.4,117.8,0.003395,0.6,0.48,0.26,0.17,0.4,0.4,0.58,2.2,19.4,845064,0.145551106188407
"408","DK1A","Non-Frozen","Non-storm","2020-41","4/18/2020 5:00","4/29/2020 21:25",6440,0.0098,0.93,259,0.003591,0.24,0.24,0.2,0.16,0,0,0.38,0.8,19.4,845064,0.0914486950100821
"409","DK1A","Non-Frozen","Storm","2020-42","4/29/2020 21:25","5/1/2020 17:00",5363,0.0731,1.19,20.67,0.05758,0.24,0.24,0.2,0.17,0,0.24,0.42,0.75,19.4,845064,0.0761551787793587
"410","DK1A","Non-Frozen","Non-storm","2020-43","5/1/2020 17:00","5/18/2020 1:00",9869,0.0236,1.18,384.7,0.003068,0.72,0.6,0.4,0.3,0,0.67,1.61,1.94,19.4,845064,0.140140865070575
"411","DK1A","Non-Frozen","Storm","2020-44","5/18/2020 1:00","5/20/2020 2:30",14310,0.1148,2.86,45.08,0.06344,0.72,0.6,0.4,0.3,0,0,0.25,0.25,19.4,845064,0.203203544346937
"412","DK1A","Non-Frozen","Non-storm","2020-45","5/20/2020 2:30","5/22/2020 2:00",4552,0.0468,0,NA,NA,NA,NA,NA,NA,0.05,1.79,3.11,3.11,19.4,845064,0.0646388912555736
"413","DK1A","Non-Frozen","Non-storm","2020-46","5/22/2020 2:00","5/28/2020 19:00",6330,0.0183,1.07,108.5,0.009862,3.36,2.76,1.84,1.4,0,0,2.86,3.11,19.4,845064,0.0898866831387919
"414","DK1A","Non-Frozen","Storm","2020-47","5/28/2020 19:00","5/29/2020 11:00",2832,0.075,1.54,9.167,0.168,3.36,2.76,1.84,1.4,0.01,0.01,0.14,3,19.4,845064,0.0402147056317628
"415","DK1A","Non-Frozen","Non-storm","2020-48","5/29/2020 11:00","6/11/2020",11760,0.039,1.31,219.4,0.00597,1.92,1.68,1.24,0.78,0,0,1.55,1.79,19.4,845064,0.166993269148846
"416","DK1A","Non-Frozen","Non-storm","2020-49","6/11/2020","6/23/2020 4:30",9057,0.0295,2.02,293.3,0.006886,1.92,1.68,1.24,0.9,0.61,0.61,0.7,2.47,19.4,845064,0.128610377438869
"417","DK1A","Non-Frozen","Storm","2020-50","6/23/2020 4:30","6/23/2020 21:00",4895,0.1169,2.23,11,0.2027,2.04,1.68,1.2,0.9,0.06,0.2,0.71,2.06,19.4,845064,0.0695095282724149
"418","DK1A","Non-Frozen","Non-storm","2020-51","6/23/2020 21:00","6/25/2020 14:00",4786,0.0577,0.01,NA,NA,NA,NA,NA,NA,0,2.29,2.94,3.68,19.4,845064,0.0679617165090455
"419","DK1A","Non-Frozen","Non-storm","2020-52","6/25/2020 14:00","7/19/2020 9:15",16420,0.0434,4.58,537.8,0.008517,4.44,3.72,1.72,1.06,0,0,2.95,2.95,19.4,845064,0.233165772059868
"420","DK1A","Non-Frozen","Storm","2020-53","7/19/2020 9:15","7/19/2020 17:00",1122,0.0554,0.23,2.267,0.1015,1.2,0.9,0.36,0.2,0,0,0.94,4.54,19.4,845064,0.0159325210871603
"421","DK1A","Non-Frozen","Non-storm","2020-54","7/19/2020 17:00","7/27/2020 11:00",6934,0.0324,0.7,12.6,0.05556,2.16,2.04,1.04,0.54,0,0,0.23,1.17,19.4,845064,0.0984635483229673
"422","DK1A","Non-Frozen","Non-storm","2020-55","7/27/2020 11:00","8/10/2020 23:00",6020,0.0092,2.68,192.2,0.01394,10.56,8.28,3.6,1.8,0,0,0,0.7,19.4,845064,0.0854846496833376
"423","DK1A","Non-Frozen","Non-storm","2020-56","8/10/2020 23:00","8/25/2020 7:00",8886,0.039,1.19,318.2,0.003739,10.56,8.28,3.68,1.85,0.01,0.08,1.73,1.78,19.4,845064,0.126182158984408
"424","DK1A","Non-Frozen","Non-storm","2020-57","8/25/2020 7:00","9/12/2020 9:00",6043,0.0173,2.48,411.1,0.006033,1.68,1.44,1.12,0.88,0,0,0.16,0.2,19.4,845064,0.0858112521655165
"425","DK1A","Non-Frozen","Non-storm","2020-58","9/12/2020 9:00","9/17/2020 9:00",5745,0.0371,1.08,22.5,0.048,0.72,0.6,0.52,0.46,0,0.02,0.52,0.68,19.4,845064,0.081579620005112
"426","DK1A","Non-Frozen","Non-storm","2020-59","9/17/2020 9:00","10/1/2020 4:59",5680,0.0085,0.28,207.8,0.001348,0.48,0.36,0.12,0.06,0,0,0,1.56,19.4,845064,0.0806566129902587
"427","H3","Non-Frozen","Storm","2004-1","7/16/2004 18:57","7/16/2004 19:20",714.8,1.622,1.03,2.333,0.4414,5.64,2.94,1.04,0.53,0,0,0.2,2.51,15.8,688248,0.0124629494019598
"428","H3","Non-Frozen","Storm","2004-2","7/16/2004 22:25","7/16/2004 23:15",1861,3.386,0.83,0.7,1.186,4.08,3.12,1.44,0.83,1.03,1.03,1.22,3.54,15.8,688248,0.0324476060954772
"429","H3","Frozen","Storm","2005-1","1/2/2005 1:20","1/3/2005 0:20",8829,0.6866,0.62,17.08,0.03629,1.56,1.44,0.78,0.47,0,0.02,0.03,0.03,15.8,688248,0.153938696516372
"430","H3","Frozen","Storm","2005-2","1/12/2005 20:33","1/14/2005 0:01",8212,0.196,0.29,7.7,0.03766,0.36,0.24,0.16,0.11,0.05,0.05,0.05,0.7,15.8,688248,0.143180946403041
"431","H3","Frozen","Storm","2005-3","2/6/2005 2:00","2/8/2005 14:28",50040,0.7204,0.252,15.73,0.01602,0.108,0.108,0.072,0.063,0,0,0,0,15.8,688248,0.872476200439377
"432","H3","Frozen","Storm","2005-4","2/13/2005 0:07","2/16/2005 9:34",63560,0.7603,0.486,42.75,0.01137,0.108,0.108,0.108,0.09,0,0,0.252,0.252,15.8,688248,1.10820518185305
"433","H3","Frozen","Storm","2005-5","2/16/2005 16:00","2/17/2005 0:18",1078,0.06092,0,NA,NA,NA,NA,NA,NA,0,0.126,0.486,0.738,15.8,688248,0.0187955504411201
"434","H3","Frozen","Storm","2005-6","2/25/2005 19:25","2/26/2005 4:58",4216,0.2374,0,NA,NA,NA,NA,NA,NA,0,0,0,0.486,15.8,688248,0.0735083865118388
"435","H3","Frozen","Storm","2005-7","2/27/2005 21:33","2/28/2005 2:38",3460,0.3558,0,NA,NA,NA,NA,NA,NA,0,0,0,0.306,15.8,688248,0.060327091397287
"436","H3","Frozen","Storm","2005-8","3/4/2005 19:29","3/5/2005 2:43",5703,0.478,0,NA,NA,NA,NA,NA,NA,0,0,0,0,15.8,688248,0.0994350873522335
"437","H3","Frozen","Storm","2005-9","3/5/2005 14:16","3/7/2005 21:25",48620,1.27,0.171,1.583,0.108,0.324,0.324,0.198,0.135,0,0,0,0,15.8,688248,0.847717683160721
"438","H3","Frozen","Storm","2005-10","3/11/2005 19:32","3/12/2005 0:12",853.2,0.07489,0,NA,NA,NA,NA,NA,NA,0.02,0.03,0.21,0.21,15.8,688248,0.0148760330578512
"439","H3","Frozen","Storm","2005-11","3/15/2005 18:00","3/16/2005 0:18",2205,0.1597,0,NA,NA,NA,NA,NA,NA,0,0,0.03,0.21,15.8,688248,0.0384454440841092
"440","H3","Frozen","Storm","2005-12","3/16/2005 17:46","3/17/2005 0:09",1841,0.1358,0,NA,NA,NA,NA,NA,NA,0,0,0.03,0.21,15.8,688248,0.0320988945845102
"441","H3","Frozen","Storm","2005-13","3/18/2005 17:30","3/19/2005 4:12",6317,0.3558,0,NA,NA,NA,NA,NA,NA,0,0,0,0.21,15.8,688248,0.11014053073892
"442","H3","Frozen","Storm","2005-14","3/20/2005 16:05","3/20/2005 22:50",5302,0.647,0,NA,NA,NA,NA,NA,NA,0,0,0,0.21,15.8,688248,0.0924434215573456
"443","H3","Non-Frozen","Storm","2005-15","4/20/2005 3:53","4/20/2005 4:11",264.2,0.5966,0.7,0.4333,1.615,3.276,3.036,1.4,0.7,0,0,0.054,0.976,15.8,688248,0.00460647905987377
"444","H3","Non-Frozen","Storm","2005-16","5/9/2005 17:45","5/9/2005 17:55",119.4,0.4085,0.369,0.1333,2.768,4.212,2.214,0.738,0.369,0.762,0.762,1.078,1.114,15.8,688248,0.00208180772047285
"445","H3","Non-Frozen","Storm","2005-17","6/25/2005 6:56","6/25/2005 7:22",649.9,1.092,1.37,3.783,0.3621,4.056,2.826,1.254,0.69,0.62,0.62,0.62,1.704,15.8,688248,0.0113313805488719
"446","H3","Non-Frozen","Storm","2005-18","6/26/2005 3:06","6/26/2005 3:40",952,1.21,0.887,0.8333,1.064,2.16,2.1,1.54,0.887,1.705,2.325,2.325,2.442,15.8,688248,0.0165986679220281
"447","H3","Non-Frozen","Storm","2005-19","7/23/2005 14:48","7/23/2005 15:04",51.4,0.09204,0.874,3.367,0.2596,2.4,2.04,1.532,0.838,0,0.216,0.645,0.789,15.8,688248,0.000896188583185131
"448","H3","Non-Frozen","Storm","2005-20","7/26/2005 0:21","7/26/2005 0:45",297,0.5486,0.772,0.5,1.544,4.476,3.648,1.526,0.772,0.018,0.018,1.7,1.844,15.8,688248,0.00517836593785961
"449","H3","Non-Frozen","Storm","2005-21","7/26/2005 4:20","7/26/2005 4:37",46.3,0.06589,0.395,0.5,0.79,1.332,0.996,0.772,0.395,0.799,0.799,2.481,2.625,15.8,688248,0.000807267147888552
"450","H3","Frozen","Storm","2006-1","3/8/2006 17:34","3/9/2006 7:00",5886,0.443,0.54,5.033,0.1073,0.324,0.27,0.198,0.18,0.081,0.252,0.252,0.252,15.8,688248,0.102625797677581
"451","H3","Frozen","Storm","2007-1","12/21/2006 14:37","12/21/2006 17:20",176.5,0.05816,0.342,5.167,0.06619,0.216,0.162,0.144,0.117,0.252,0.252,0.261,0.297,15.8,688248,0.00307737908428357
"452","H3","Frozen","Storm","2007-2","2/21/2007 18:00","2/22/2007 9:33",851.3,0.03292,0,NA,NA,NA,NA,NA,NA,0,0,0,0,15.8,688248,0.0148429054643094
"453","H3","Frozen","Storm","2007-3","2/22/2007 17:30","2/23/2007 0:15",748.9,0.06021,0,NA,NA,NA,NA,NA,NA,0,0,0,0,15.8,688248,0.0130575025281585
"454","H3","Frozen","Storm","2007-4","3/10/2007","3/13/2007 2:46",45430,1.83,0.153,4.233,0.03614,0.108,0.108,0.072,0.063,0,0,0,0.144,15.8,688248,0.792098197161488
"455","H3","Frozen","Storm","2007-5","3/13/2007 14:45","3/13/2007 19:31",1388,0.1701,0,NA,NA,NA,NA,NA,NA,0.009,0.009,0.162,0.306,15.8,688248,0.0242005788611082
"456","JF2","Frozen","Storm","2011-1","12/31/2010 1:30","12/31/2010 9:15",396.2,0.03136,0.01,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.03,16,696960,0.00682162534435262
"457","JF2","Frozen","Storm","2011-2","2/14/2011 20:45","2/15/2011 1:05",84.1,0.0089,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.00144800275482094
"458","JF2","Frozen","Storm","2011-3","2/15/2011 21:45","2/16/2011 0:15",61.9,0.00986,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.00106577134986226
"459","JF2","Frozen","Storm","2011-4","2/16/2011 19:30","2/17/2011 23:30",1138,0.02674,0.02,3.333,0.006,0.12,0.06,0.02,0.01,0,0,0,0,16,696960,0.0195936639118457
"460","JF2","Frozen","Storm","2011-5","3/15/2011 20:45","3/16/2011 0:30",140.6,0.01664,0,NA,NA,NA,NA,NA,NA,0,0,0,0.15,16,696960,0.00242079889807162
"461","JF2","Frozen","Storm","2011-6","3/16/2011 18:15","3/17/2011 0:15",398,0.03396,0,NA,NA,NA,NA,NA,NA,0,0,0,0.15,16,696960,0.00685261707988981
"462","JF2","Frozen","Storm","2011-7","3/17/2011 18:45","3/18/2011 3:30",1187,0.082,0.01,NA,NA,NA,NA,NA,NA,0,0,0,0.15,16,696960,0.0204373278236915
"463","JF2","Non-Frozen","Storm","2011-8","3/20/2011 13:30","3/20/2011 21:15",2255,0.2234,0.94,11,0.08545,0.36,0.36,0.3,0.22,0.02,0.02,0.03,0.03,16,696960,0.0388257575757576
"464","JF2","Non-Frozen","Storm","2011-9","3/22/2011 15:30","3/23/2011 13:15",5598,0.6278,1.49,20.92,0.07124,0.84,0.6,0.32,0.24,0,0.94,0.97,0.97,16,696960,0.0963842975206612
"465","JF2","Frozen","Storm","2012-1","1/31/2012 23:45","2/1/2012 3:45",138.2,0.0151,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.00237947658402204
"466","JF2","Frozen","Storm","2012-2","2/4/2012 20:30","2/5/2012",34.6,0.0069,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.000595730027548209
"467","JF2","Frozen","Storm","2012-3","2/21/2012 20:45","2/22/2012 5:55",924.5,0.0638,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.0159176997245179
"468","JF2","Frozen","Storm","2012-4","2/22/2012 22:15","2/23/2012 3:30",164.2,0.0192,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.0028271349862259
"469","JF2","Frozen","Storm","2012-5","2/26/2012 21:15","2/27/2012 4:15",414.7,0.0314,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.00714015151515152
"470","JF2","Frozen","Storm","2012-6","2/29/2012 1:34","3/1/2012 0:45",18870,1.574,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.324896694214876
"471","JF2","Frozen","Storm","2012-7","3/2/2012 0:15","3/2/2012 1:30",17.3,0.0081,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.000297865013774105
"472","JF2","Frozen","Storm","2012-8","3/6/2012 17:00","3/7/2012 2:15",13400,1.34,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.230716253443526
"473","JF2","Non-Frozen","Storm","2012-9","3/7/2012 8:30","3/7/2012 23:00",224.7,0.0118,0.06,1,0.06,0.24,0.18,0.1,0.05,0,0,0,0,16,696960,0.00386880165289256
"474","JF2","Frozen","Storm","2013-1","1/29/2013 8:30","1/30/2013 11:15",6601,0.2416,0.17,5.583,0.03045,0.48,0.36,0.14,0.08,0.21,0.21,0.21,0.21,16,696960,0.113653581267218
"475","JF2","Frozen","Storm","2013-2","2/10/2013 17:30","2/12/2013 5:30",15050,0.4246,0.77,11.33,0.06794,0.6,0.6,0.44,0.29,0,0,0.03,0.41,16,696960,0.259125344352617
"476","JF2","Frozen","Storm","2013-3","3/9/2013 22:15","3/12/2013 14:00",29020,0.8866,0.64,28.83,0.0222,0.24,0.18,0.16,0.14,0.08,0.08,0.08,0.08,16,696960,0.49965564738292
"477","JF2","Frozen","Storm","2013-4","3/28/2013 17:15","4/5/2013 7:15",58250,1.273,0.21,19.33,0.01086,0.36,0.3,0.2,0.16,0,0,0,0,16,696960,1.00292699724518
"478","JF2","Non-Frozen","Storm","2013-5","4/5/2013 14:30","4/5/2013 22:45",267.8,0.0278,0,NA,NA,NA,NA,NA,NA,0,0,0.21,0.21,16,696960,0.00461088154269972
"479","JF2","Non-Frozen","Storm","2013-6","4/6/2013 16:30","4/7/2013 3:00",138.2,0.0092,0.23,4,0.0575,0.24,0.24,0.2,0.14,0,0,0.03,0.21,16,696960,0.00237947658402204
"480","JF2","Non-Frozen","Storm","2013-7","4/7/2013 18:15","4/7/2013 22:15",17.3,0.0036,0,NA,NA,NA,NA,NA,NA,0.23,0.23,0.23,0.44,16,696960,0.000297865013774105
"481","JF2","Non-Frozen","Storm","2013-8","4/9/2013 16:30","4/9/2013 18:00",17.3,0.0081,0.79,5.5,0.1436,0.48,0.48,0.44,0.37,0,0.07,0.3,0.51,16,696960,0.000297865013774105
"482","JF2","Non-Frozen","Storm","2013-9","4/10/2013 3:45","4/10/2013 10:00",5694,1.858,1.26,6.583,0.1914,1.56,1.02,0.64,0.5,0.81,0.88,1.11,1.32,16,696960,0.0980371900826446
"483","JF2","Non-Frozen","Storm","2013-10","4/15/2013 4:15","4/15/2013 6:30",699.8,0.28,0.53,3.5,0.1514,0.36,0.3,0.3,0.25,0.42,0.42,2.67,2.9,16,696960,0.0120488980716253
"484","JF2","Non-Frozen","Storm","2013-11","6/23/2013 2:45","6/23/2013 7:15",146.9,0.082,1.34,6,0.2233,1.92,1.68,1.18,0.89,0.52,1.55,1.57,3.75,16,696960,0.00252926997245179
"485","JF2","Non-Frozen","Storm","2014-1","10/5/2013 7:15","10/5/2013 8:00",46.4,0.03948,1.52,1.917,0.793,3.6,3.36,2.72,1.51,0.07,1.36,1.95,1.95,16,696960,0.000798898071625344
"486","JF2","Frozen","Storm","2014-2","3/10/2014 23:45","3/16/2014 3:00",32100,0.5158,0.13,3,0.04333,0.12,0.06,0.06,0.06,0,0,0,0,16,696960,0.552685950413223
"487","JF2","Frozen","Storm","2014-3","3/18/2014 17:00","3/20/2014 15:45",9547,0.3684,0.01,NA,NA,NA,NA,NA,NA,0,0,0,0.13,16,696960,0.164376721763085
"488","JF2","Frozen","Storm","2014-4","3/20/2014 18:30","3/23/2014 0:05",21080,0.9526,0,NA,NA,NA,NA,NA,NA,0,0.01,0.01,0.14,16,696960,0.362947658402204
"489","JF2","Frozen","Storm","2014-5","3/27/2014 16:30","3/29/2014 2:45",32390,2.05,0.9,10.75,0.08372,0.48,0.36,0.3,0.24,0,0,0,0.01,16,696960,0.557679063360882
"490","JF2","Frozen","Storm","2014-6","3/29/2014 15:45","3/30/2014 2:30",153.9,0.0075,0,NA,NA,NA,NA,NA,NA,0,0.9,0.9,0.91,16,696960,0.00264979338842975
"491","JF2","Frozen","Storm","2014-7","3/30/2014 15:45","3/31/2014 1:45",466,0.03292,0,NA,NA,NA,NA,NA,NA,0,0,0.9,0.91,16,696960,0.00802341597796143
"492","JF2","Frozen","Storm","2014-8","3/31/2014 14:45","3/31/2014 21:00",31.8,0.00426,0,NA,NA,NA,NA,NA,NA,0,0,0.9,0.91,16,696960,0.000547520661157025
"493","JF2","Non-Frozen","Storm","2014-9","6/18/2014 11:00","6/18/2014 12:15",766.1,0.7282,1.22,1.167,1.046,6,5.34,2.28,1.2,0.01,1.62,1.63,2.53,16,696960,0.0131904269972452
"494","JF2","Non-Frozen","Storm","2014-10","6/19/2014 6:00","6/19/2014 12:30",29620,11.43,2.16,6.583,0.3281,2.52,2.46,1.86,1.39,1.39,1.55,3.01,3.9,16,696960,0.509986225895317
"495","JF2","Frozen","Storm","2015-1","3/8/2015 17:45","3/10/2015 23:30",27430,1.458,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.472279614325069
"496","JF2","Frozen","Storm","2015-2","3/11/2015 17:15","3/11/2015 22:00",24.5,0.00541,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16,696960,0.000421831955922865
"497","JF2","Non-Frozen","Storm","2015-3","4/9/2015 17:15","4/9/2015 18:15",69,0.03188,0.79,3.25,0.2431,0.84,0.78,0.6,0.39,0.36,1.78,1.8,2.05,16,696960,0.00118801652892562
"498","JF2","Non-Frozen","Storm","2015-4","7/13/2015 21:45","7/13/2015 22:15",95,0.2,1.11,0.75,1.48,5.28,4.08,2.2,1.11,0.91,0.91,1.05,1.55,16,696960,0.00163567493112948
"499","JF2","Non-Frozen","Storm","2016-1","12/14/2015 10:00","12/14/2015 16:30",12900,2.802,4.15,32.33,0.1284,0.96,0.84,0.52,0.5,0,0,0.05,0.57,16,696960,0.222107438016529
"500","JF2","Non-Frozen","Storm","2016-2","3/31/2016 3:15","3/31/2016 10:15",6902,1.254,1.48,6.833,0.2166,1.92,1.74,1.02,0.71,0.32,0.32,0.37,0.37,16,696960,0.11883608815427
"501","JF2","Non-Frozen","Storm","2016-3","5/26/2016 11:00","5/26/2016 11:30",109.3,0.181,1.46,0.75,1.947,4.44,3.18,2.42,1.46,0.11,0.11,0.11,0.55,16,696960,0.0018818870523416
"502","JF2","Non-Frozen","Storm","2016-4","6/1/2016 0:15","6/1/2016 1:30",82.4,0.0595,1.25,1.667,0.75,2.28,1.8,1.06,0.97,0.17,0.17,3.2,3.2,16,696960,0.00141873278236915
"503","JF2","Non-Frozen","Storm","2016-5","6/11/2016 0:15","6/11/2016 1:15",81.6,0.1575,0.65,0.75,0.8667,1.68,1.32,0.94,0.65,0,0.53,1.31,4.01,16,696960,0.00140495867768595
"504","JF2","Non-Frozen","Storm","2016-6","6/12/2016 10:30","6/12/2016 11:00",42.7,0.1081,0.2,0.25,0.8,1.32,1.02,0.4,0.2,0,0.69,1.22,3.62,16,696960,0.000735192837465565
"505","JF2","Non-Frozen","Storm","2016-7","6/13/2016 15:15","6/13/2016 16:00",78.2,0.06234,0.64,0.75,0.8533,1.92,1.74,1.2,0.64,0,0.29,1.51,3.87,16,696960,0.00134641873278237
"506","JF2","Non-Frozen","Storm","2016-8","6/15/2016 2:15","6/15/2016 5:15",9527,4.844,1.57,3,0.5233,4.08,3.96,2.06,1.21,0.02,0.67,2.18,3.34,16,696960,0.164032369146006
"507","JF2","Non-Frozen","Storm","2016-9","6/30/2016 20:15","6/30/2016 21:00",420.3,0.5179,1.31,0.6667,1.965,7.08,6.06,2.54,1.31,0,0,0.62,0.67,16,696960,0.00723657024793388
"508","JF2","Non-Frozen","Storm","2016-10","7/6/2016 3:30","7/6/2016 4:15",92.1,0.1081,0.73,0.9167,0.7964,3.24,2.88,1.38,0.73,0,0,1.35,1.97,16,696960,0.00158574380165289
"509","JF2","Non-Frozen","Storm","2016-11","7/17/2016 9:00","7/17/2016 9:45",84.3,0.099,0.47,2.417,0.1945,1.44,1.02,0.58,0.36,0,0.07,0.38,1.8,16,696960,0.00145144628099174
"510","JF2","Non-Frozen","Storm","2016-12","8/17/2016 3:45","8/17/2016 4:15",45,0.04713,0.81,1.75,0.4629,1.92,1.56,0.98,0.49,0,0,0.58,2.02,16,696960,0.000774793388429752
