"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"29","AO1","Frozen","Storm","2022-9","4/6/2022 8:45","4/6/2022 12:00",133.1,0.0228,0.38,8.233,0.04615,0.24,0.18,0.14,0.11,0.01,0.05,0.18,1.45,22.2,967032,0.00165165165165165
"30","AO1","Frozen","Storm","2023-1","2/15/2023 6:45","2/17/2023 0:36",26930,1.024,0.67,15.12,0.04432,0.48,0.42,0.22,0.15,0,0,0,0,22.2,967032,0.334177152358971
"31","AO1","Frozen","Storm","2023-2","3/27/2023 18:45","3/28/2023 0:56",280.5,0.0228,0,NA,NA,NA,NA,NA,NA,0,0,0,0.18,22.2,967032,0.00348075348075348
"32","AO1","Frozen","Storm","2023-3","3/31/2023 11:22","4/1/2023 8:59",3083,0.0773,1.57,19.83,0.07916,0.48,0.42,0.36,0.33,0,0,0,0,22.2,967032,0.0382572655299928
"33","AO1","Frozen","Storm","2023-4","4/3/2023 15:56","4/11/2023 23:30",892400,11.34,0.51,22.05,0.02313,0.96,0.54,0.34,0.28,0,0,1.57,1.57,22.2,967032,11.0738838011565
"34","AO1","Non-Frozen","Storm","2023-5","6/3/2023 20:48","6/3/2023 21:11",34.5,0.0588,0.81,0.7167,1.13,4.44,3.6,1.54,0.81,0,0,0,0,22.2,967032,0.000428114064477701
"35","AO1","Non-Frozen","Storm","2023-6","7/29/2023 0:56","7/29/2023 2:00",1165,0.6054,1.41,1.083,1.302,2.64,2.46,1.38,1.34,0.7,0.7,1.47,2.29,22.2,967032,0.0144566053656963
"36","AO3","Frozen","Storm","2021-1","3/11/2021 2:15","3/12/2021 3:04",158800,5.964,0.19,1.933,0.09828,0.48,0.36,0.24,0.14,0.62,0.62,0.62,0.64,22.4,975744,1.95297127115309
"37","AO3","Non-Frozen","Storm","2021-2","4/7/2021 3:58","4/7/2021 4:42",94,0.09639,0.8,2.25,0.3556,2.64,1.74,0.82,0.7,0.5,0.5,0.5,1.17,22.4,975744,0.0011560409287682
"38","AO3","Non-Frozen","Storm","2021-3","5/25/2021 1:24","5/26/2021 2:08",16760,12.89,1.11,24.23,0.0458,3.36,1.86,0.82,0.5,0.02,0.04,0.86,1.02,22.4,975744,0.20611963793782
"39","AO3","Non-Frozen","Storm","2021-4","5/27/2021 21:55","5/28/2021 2:45",93.2,0.01161,0.49,9.083,0.05394,0.12,0.12,0.1,0.08,0,0.64,1.36,2.13,22.4,975744,0.00114620228256592
"40","AO3","Non-Frozen","Storm","2021-5","5/31/2021 21:30","6/1/2021 1:37",15350,6.924,0.66,2.383,0.2769,1.68,1.26,0.78,0.41,0,0.02,1.62,2.48,22.4,975744,0.188779024006297
"41","AO3","Non-Frozen","Storm","2021-6","6/9/2021 1:15","6/9/2021 3:18",14810,10.71,0.79,2.533,0.3118,1.44,1.26,0.94,0.63,0,0,0.04,1.25,22.4,975744,0.182137937819756
