"Field_Name","Hydrologic_Group","Constituent","Metric","Events","Mean","Standard_Deviation","Median"
"RS1","Moderate-infiltration","Total phosphorus","Concentration",21,1.60480952380952,2.80577865518732,0.941
"RS1","Moderate-infiltration","Total phosphorus","Load",21,0.307990476190476,0.657657090667136,0.0476
"RS1","Moderate-infiltration","Total phosphorus","Yield",21,0.146460476190476,0.31256704540748,0.0227
"RS2","Moderate-infiltration","Suspended sediment","Concentration",20,150.71,222.333315210815,94.5
"RS2","Moderate-infiltration","Suspended sediment","Load",20,45.6835,140.006303727443,8.215
"RS2","Moderate-infiltration","Suspended sediment","Yield",20,24.02615,73.6544625533915,4.325
"RS2","Moderate-infiltration","Total dissolved solids","Concentration",0,,0,
"RS2","Moderate-infiltration","Total dissolved solids","Load",0,,0,
"RS2","Moderate-infiltration","Total dissolved solids","Yield",0,,0,
"RS2","Moderate-infiltration","Orthophosphate","Concentration",20,0.21335,0.122213478023196,0.1815
"RS2","Moderate-infiltration","Orthophosphate","Load",20,0.0514725,0.0678112952767108,0.0254
"RS2","Moderate-infiltration","Orthophosphate","Yield",20,0.0270793,0.0356643923455727,0.0134
"RS2","Moderate-infiltration","Total phosphorus","Concentration",20,0.56505,0.356280267412284,0.431
"RS2","Moderate-infiltration","Total phosphorus","Load",20,0.1376635,0.197878343839819,0.0593
"RS2","Moderate-infiltration","Total phosphorus","Yield",20,0.072429,0.104074205960535,0.03125
"WF1","High-infiltration","Suspended sediment","Concentration",63,940.284126984127,1838.63446447018,126
"WF1","High-infiltration","Suspended sediment","Load",63,1766.37415873016,4067.35765389356,64
"WF1","High-infiltration","Suspended sediment","Yield",63,41.9191857142857,96.532494736606,1.52
"WF1","High-infiltration","Total dissolved solids","Concentration",63,132.119047619048,65.5242330379179,120
"WF1","High-infiltration","Total dissolved solids","Load",63,189.814444444444,301.97727630156,75.6
"WF1","High-infiltration","Total dissolved solids","Yield",63,4.50471587301587,7.15981017265497,1.8
"WF1","High-infiltration","Orthophosphate","Concentration",63,0.807412698412698,0.982092953272962,0.594
"WF1","High-infiltration","Orthophosphate","Load",63,0.879463492063492,1.17298322682802,0.429
"WF1","High-infiltration","Orthophosphate","Yield",63,0.0208811428571429,0.0278573199645676,0.0102
"WF1","High-infiltration","Total phosphorus","Concentration",63,2.33093650793651,2.63960762524633,1.18
"WF1","High-infiltration","Total phosphorus","Load",63,3.22614761904762,5.1997096663321,1.17
"WF1","High-infiltration","Total phosphorus","Yield",63,0.0766271587301587,0.123476932804133,0.0278
"WF2","Slow-infiltration","Suspended sediment","Concentration",58,2207.28965517241,5506.05170417187,102
"WF2","Slow-infiltration","Suspended sediment","Load",58,1581.15870689655,3270.24641728366,91.05
"WF2","Slow-infiltration","Suspended sediment","Yield",58,236.073810344828,488.425048063185,13.6
"WF2","Slow-infiltration","Total dissolved solids","Concentration",58,147.855172413793,111.103482934358,116
"WF2","Slow-infiltration","Total dissolved solids","Load",58,209.104827586207,338.901423737601,91.9
"WF2","Slow-infiltration","Total dissolved solids","Yield",58,31.2159310344828,50.5710878112802,13.7
"WF2","Slow-infiltration","Orthophosphate","Concentration",58,0.465068965517241,1.31014252421513,0.1915
"WF2","Slow-infiltration","Orthophosphate","Load",58,0.612438448275862,1.67241755062376,0.172
"WF2","Slow-infiltration","Orthophosphate","Yield",58,0.0914677586206896,0.249943985451359,0.02565
"WF2","Slow-infiltration","Total phosphorus","Concentration",58,2.29996551724138,4.39053790000971,0.65
"WF2","Slow-infiltration","Total phosphorus","Load",58,2.06825344827586,3.13062297758688,0.6545
"WF2","Slow-infiltration","Total phosphorus","Yield",58,0.308604137931034,0.466969957183973,0.09755
