"Field_Name","Hydrologic_Group","Constituent","Metric","Events","Mean","Standard_Deviation","Median"
"JF2","High-infiltration","Suspended sediment","Yield",25,20.361968,35.3527247650225,5.17
"JF2","High-infiltration","Total dissolved solids","Concentration",25,196.04,144.676213202678,144
"JF2","High-infiltration","Total dissolved solids","Load",25,107.14428,132.794847665964,61
"JF2","High-infiltration","Total dissolved solids","Yield",25,6.6959764,8.29651989439492,3.81
"JF2","High-infiltration","Orthophosphate","Concentration",25,2.59556,2.26829541506392,1.85
"JF2","High-infiltration","Orthophosphate","Load",25,1.4298096,2.00987106126131,0.661
"JF2","High-infiltration","Orthophosphate","Yield",25,0.08937712,0.125686581343674,0.0413
"JF2","High-infiltration","Total phosphorus","Concentration",25,5.73404,6.657768410411,3.58
"JF2","High-infiltration","Total phosphorus","Load",25,2.81058,4.20323308725954,0.952
"JF2","High-infiltration","Total phosphorus","Yield",25,0.17555672,0.262125825129288,0.0595
"JF4","Moderate-infiltration","Suspended sediment","Concentration",55,226.369090909091,551.887174081646,39
"JF4","Moderate-infiltration","Suspended sediment","Load",55,160.164923636364,300.486228184576,25.8
"JF4","Moderate-infiltration","Suspended sediment","Yield",55,11.4381563636364,21.4315373817398,1.84
"JF4","Moderate-infiltration","Total dissolved solids","Concentration",55,102.445454545455,73.4602483034742,83
"JF4","Moderate-infiltration","Total dissolved solids","Load",55,86.6829090909091,112.41314139391,39.1
"JF4","Moderate-infiltration","Total dissolved solids","Yield",55,6.19476363636364,8.02869816706995,2.8
"JF4","Moderate-infiltration","Orthophosphate","Concentration",55,0.859363636363636,1.0168306855606,0.538
"JF4","Moderate-infiltration","Orthophosphate","Load",55,0.747308,1.11434855076923,0.3
"JF4","Moderate-infiltration","Orthophosphate","Yield",55,0.0533512545454545,0.0795612784928415,0.0214
"JF4","Moderate-infiltration","Total phosphorus","Concentration",55,1.41536363636364,1.44310532409488,0.96
"JF4","Moderate-infiltration","Total phosphorus","Load",55,1.22031018181818,1.6931506627187,0.527
"JF4","Moderate-infiltration","Total phosphorus","Yield",55,0.0871404,0.120915679847968,0.0376
"JF5","High-infiltration","Suspended sediment","Concentration",41,1613.3,2861.63208064908,337
"JF5","High-infiltration","Suspended sediment","Load",41,3230.83060243902,8149.36537580481,77.8
"JF5","High-infiltration","Suspended sediment","Yield",41,96.8132626829268,244.269622119446,2.33
"JF5","High-infiltration","Total dissolved solids","Concentration",41,124.907317073171,78.0198833318914,108
"JF5","High-infiltration","Total dissolved solids","Load",41,119.203365853659,188.353074006075,30.4
"JF5","High-infiltration","Total dissolved solids","Yield",41,3.56807365853659,5.64083385590719,0.909
"JF5","High-infiltration","Orthophosphate","Concentration",41,0.574536585365854,0.481701364828925,0.361
"JF5","High-infiltration","Orthophosphate","Load",41,0.403612926829268,0.627523780359135,0.119
"JF5","High-infiltration","Orthophosphate","Yield",41,0.0120822317073171,0.0187741812877744,0.00357
"JF5","High-infiltration","Total phosphorus","Concentration",41,2.78065853658537,3.00122827030664,1.87
"JF5","High-infiltration","Total phosphorus","Load",41,3.92844,8.05682412546377,0.668
"JF5","High-infiltration","Total phosphorus","Yield",41,0.117485909756098,0.24073076767639,0.02
"K5","Slow-infiltration","Suspended sediment","Concentration",52,120.969230769231,251.177626812504,50.5
"K5","Slow-infiltration","Suspended sediment","Load",52,149.616267307692,420.506467246905,16.85
"K5","Slow-infiltration","Suspended sediment","Yield",52,9.83163865384615,27.5984217037335,1.105
"K5","Slow-infiltration","Total dissolved solids","Concentration",52,422.730769230769,204.075833212454,398
"K5","Slow-infiltration","Total dissolved solids","Load",52,388.971153846154,569.810075839358,140
"K5","Slow-infiltration","Total dissolved solids","Yield",52,25.5875384615385,37.5069186069803,9.215
"K5","Slow-infiltration","Orthophosphate","Concentration",52,4.40538461538462,1.98871962114406,4.56
"K5","Slow-infiltration","Orthophosphate","Load",52,4.67325192307692,8.30038795000478,1.0615
"K5","Slow-infiltration","Orthophosphate","Yield",52,0.307269038461538,0.545817890495843,0.0699
"K5","Slow-infiltration","Total phosphorus","Concentration",52,5.48942307692308,2.53499848277909,5.51
"K5","Slow-infiltration","Total phosphorus","Load",52,5.92345961538462,10.4788894594062,1.535
"K5","Slow-infiltration","Total phosphorus","Yield",52,0.389647692307692,0.689374806947131,0.10065
"K7","Slow-infiltration","Suspended sediment","Concentration",32,59.746875,97.8264427092448,20
"K7","Slow-infiltration","Suspended sediment","Load",32,124.34209375,450.908473922073,12.02
"K7","Slow-infiltration","Suspended sediment","Yield",32,10.381990625,37.6905758546835,1.005
"K7","Slow-infiltration","Total dissolved solids","Concentration",32,265.090625,151.570482613195,212
"K7","Slow-infiltration","Total dissolved solids","Load",32,259.4290625,368.689930738724,92.35
"K7","Slow-infiltration","Total dissolved solids","Yield",32,21.62553125,30.7336327875761,7.7
"K7","Slow-infiltration","Orthophosphate","Concentration",32,2.05196875,0.911337637385023,1.94
"K7","Slow-infiltration","Orthophosphate","Load",32,2.823396875,5.45930169914138,0.831
"K7","Slow-infiltration","Orthophosphate","Yield",32,0.235294375,0.455127938191205,0.06935
"K7","Slow-infiltration","Total phosphorus","Concentration",32,2.413,0.954291630545418,2.225
"K7","Slow-infiltration","Total phosphorus","Load",32,3.3891875,6.44727532371922,1.2465
"K7","Slow-infiltration","Total phosphorus","Yield",32,0.2825978125,0.53745145273173,0.10395
"K8","Moderate-infiltration","Suspended sediment","Concentration",40,74.1475,171.437731818365,22.5
"K8","Moderate-infiltration","Suspended sediment","Load",40,20.317345,48.3679836134424,3.4
"K8","Moderate-infiltration","Suspended sediment","Yield",40,4.06435,9.6758757416418,0.68
"K8","Moderate-infiltration","Total dissolved solids","Concentration",40,243.3,84.6150256402642,229
"K8","Moderate-infiltration","Total dissolved solids","Load",40,67.302925,71.0060403293314,39.05
"K8","Moderate-infiltration","Total dissolved solids","Yield",40,13.455985,14.194628452748,7.8
"K8","Moderate-infiltration","Orthophosphate","Concentration",40,1.2186,0.589706002369629,1.14
"K8","Moderate-infiltration","Orthophosphate","Load",40,0.353232,0.386941543767703,0.2095
"K8","Moderate-infiltration","Orthophosphate","Yield",40,0.0705775,0.0773040322612356,0.0419
"K8","Moderate-infiltration","Total phosphorus","Concentration",40,1.5538,0.7820277455895,1.435
"K8","Moderate-infiltration","Total phosphorus","Load",40,0.46308,0.561801599800554,0.227
"K8","Moderate-infiltration","Total phosphorus","Yield",40,0.09264175,0.112384218389473,0.0454
"KD1","Moderate-infiltration","Suspended sediment","Concentration",49,3663.87755102041,11350.4139363444,666
"KD1","Moderate-infiltration","Suspended sediment","Load",49,2267.97951020408,7393.30856310041,68
"KD1","Moderate-infiltration","Suspended sediment","Yield",49,871.754204081633,2841.6761874829,26.1
"KD1","Moderate-infiltration","Total dissolved solids","Concentration",0,,0,
"KD1","Moderate-infiltration","Total dissolved solids","Load",0,,0,
"KD1","Moderate-infiltration","Total dissolved solids","Yield",0,,0,
"KD1","Moderate-infiltration","Orthophosphate","Concentration",49,0.304775510204082,0.616857873463914,0.122
"KD1","Moderate-infiltration","Orthophosphate","Load",49,0.0984037142857143,0.305862493386666,0.0441
"KD1","Moderate-infiltration","Orthophosphate","Yield",49,0.0378613265306122,0.117791436460697,0.017
"KD1","Moderate-infiltration","Total phosphorus","Concentration",49,2.47924489795918,3.02437969212016,1.54
"KD1","Moderate-infiltration","Total phosphorus","Load",49,1.11145102040816,2.42248701390761,0.227
"KD1","Moderate-infiltration","Total phosphorus","Yield",49,0.427534489795918,0.931038107016529,0.0873
"KD2","Moderate-infiltration","Suspended sediment","Concentration",42,844.714285714286,1033.2705424705,458.5
"KD2","Moderate-infiltration","Suspended sediment","Load",42,2481.60738095238,4480.04658820564,978
"KD2","Moderate-infiltration","Suspended sediment","Yield",42,125.38219047619,226.486057994019,49.35
"KD2","Moderate-infiltration","Total dissolved solids","Concentration",0,,0,
"KD2","Moderate-infiltration","Total dissolved solids","Load",0,,0,
"KD2","Moderate-infiltration","Total dissolved solids","Yield",0,,0,
"KD2","Moderate-infiltration","Orthophosphate","Concentration",42,0.825,0.591784692224477,0.6395
"KD2","Moderate-infiltration","Orthophosphate","Load",42,1.9403619047619,2.21373472367536,1.38
"KD2","Moderate-infiltration","Orthophosphate","Yield",42,0.0979423809523809,0.111560110884376,0.0697
"KD2","Moderate-infiltration","Total phosphorus","Concentration",42,2.4037619047619,1.65933296632939,1.965
"KD2","Moderate-infiltration","Total phosphorus","Load",42,6.36716666666667,7.98432879692453,3.435
"KD2","Moderate-infiltration","Total phosphorus","Yield",42,0.321695238095238,0.403391683985278,0.1735
"KP3","Slow-infiltration","Suspended sediment","Concentration",23,171.695652173913,176.016123947007,122
"KP3","Slow-infiltration","Suspended sediment","Load",23,135.875717391304,286.064952435187,17.5
"KP3","Slow-infiltration","Suspended sediment","Yield",23,22.2695047826087,46.8538799628016,2.87
"KP3","Slow-infiltration","Total dissolved solids","Concentration",23,216.130434782609,191.185845888194,148
"KP3","Slow-infiltration","Total dissolved solids","Load",23,91.8887391304348,121.618257078232,40.1
"KP3","Slow-infiltration","Total dissolved solids","Yield",23,15.0663391304348,19.9305185912947,6.57
"KP3","Slow-infiltration","Orthophosphate","Concentration",23,3.534,3.61668317410002,2.68
"KP3","Slow-infiltration","Orthophosphate","Load",23,1.93807782608696,3.06831821366505,0.407
"KP3","Slow-infiltration","Orthophosphate","Yield",23,0.317464347826087,0.502367534144132,0.0668
"KP3","Slow-infiltration","Total phosphorus","Concentration",23,4.25821739130435,4.28377407897333,3.54
"KP3","Slow-infiltration","Total phosphorus","Load",23,2.36696086956522,3.55664005893958,0.574
"KP3","Slow-infiltration","Total phosphorus","Yield",23,0.387744782608696,0.582229894409647,0.0941
"MT1","Slow-infiltration","Suspended sediment","Concentration",7,87.5285714285714,49.9318440238196,79
"MT1","Slow-infiltration","Suspended sediment","Load",7,129.638571428571,131.390372862521,141
"MT1","Slow-infiltration","Suspended sediment","Yield",7,16.859,17.0696028170937,18.4
"MT1","Slow-infiltration","Total dissolved solids","Concentration",0,,0,
"MT1","Slow-infiltration","Total dissolved solids","Load",0,,0,
"MT1","Slow-infiltration","Total dissolved solids","Yield",0,,0,
"MT1","Slow-infiltration","Orthophosphate","Concentration",7,0.668714285714286,0.479885303756955,0.418
"MT1","Slow-infiltration","Orthophosphate","Load",7,0.751014285714286,0.605082006641996,0.498
"MT1","Slow-infiltration","Orthophosphate","Yield",7,0.09752,0.0784981876648542,0.0647
"MT1","Slow-infiltration","Total phosphorus","Concentration",7,0.978428571428571,0.519497788619887,0.847
"MT1","Slow-infiltration","Total phosphorus","Load",7,1.32771428571429,1.23551928546741,0.975
"MT1","Slow-infiltration","Total phosphorus","Yield",7,0.172428571428571,0.160565819466512,0.127
"MT2","Slow-infiltration","Suspended sediment","Concentration",13,9.28461538461539,5.58865609275405,8
"MT2","Slow-infiltration","Suspended sediment","Load",13,7.33277692307692,9.80643886927987,2.48
"MT2","Slow-infiltration","Suspended sediment","Yield",13,1.30825230769231,1.75003679729958,0.443
"MT2","Slow-infiltration","Total dissolved solids","Concentration",0,,0,
"MT2","Slow-infiltration","Total dissolved solids","Load",0,,0,
"MT2","Slow-infiltration","Total dissolved solids","Yield",0,,0,
"MT2","Slow-infiltration","Orthophosphate","Concentration",13,1.03861538461538,0.71973867230423,0.814
"MT2","Slow-infiltration","Orthophosphate","Load",13,0.836653846153846,1.15930754735703,0.261
"MT2","Slow-infiltration","Orthophosphate","Yield",13,0.149333076923077,0.206971227202584,0.0466
"MT2","Slow-infiltration","Total phosphorus","Concentration",13,1.25292307692308,0.834232427797999,0.953
"MT2","Slow-infiltration","Total phosphorus","Load",13,1.01896923076923,1.3651812745228,0.325
"MT2","Slow-infiltration","Total phosphorus","Yield",13,0.181950769230769,0.243677900874,0.058
"P1","Moderate-infiltration","Suspended sediment","Concentration",48,676.7875,1503.98403718116,134.5
"P1","Moderate-infiltration","Suspended sediment","Load",48,1055.85060416667,3788.61173948922,62.75
"P1","Moderate-infiltration","Suspended sediment","Yield",48,51.4505908333333,184.58974165899,3.065
"P1","Moderate-infiltration","Total dissolved solids","Concentration",29,345.310344827586,222.468152367331,288
"P1","Moderate-infiltration","Total dissolved solids","Load",29,342.149655172414,394.97268933147,145
"P1","Moderate-infiltration","Total dissolved solids","Yield",29,16.6886896551724,19.2615697051769,7.08
"P1","Moderate-infiltration","Orthophosphate","Concentration",48,0.907270833333333,0.455819474324824,0.765
"P1","Moderate-infiltration","Orthophosphate","Load",48,1.047040625,1.42573351200305,0.3255
"P1","Moderate-infiltration","Orthophosphate","Yield",48,0.0511108666666667,0.0695747275888134,0.01585
"P1","Moderate-infiltration","Total phosphorus","Concentration",48,2.48995833333333,2.4823865058013,1.81
"P1","Moderate-infiltration","Total phosphorus","Load",48,3.27861208333333,6.769244614636,0.8715
"P1","Moderate-infiltration","Total phosphorus","Yield",48,0.160203391666667,0.331161131838459,0.0425
"P2","Moderate-infiltration","Suspended sediment","Concentration",39,1063.90769230769,2716.15441410371,119
"P2","Moderate-infiltration","Suspended sediment","Load",39,796.820307692308,2613.90922490049,62.8
"P2","Moderate-infiltration","Suspended sediment","Yield",39,36.0399102564103,118.163867810883,2.84
"P2","Moderate-infiltration","Total dissolved solids","Concentration",18,252.888888888889,144.312116359315,195
"P2","Moderate-infiltration","Total dissolved solids","Load",18,199.194444444444,186.876843598137,131.5
"P2","Moderate-infiltration","Total dissolved solids","Yield",18,9.01016666666667,8.45491735966849,5.935
"P2","Moderate-infiltration","Orthophosphate","Concentration",39,0.131948717948718,0.0921723068120242,0.115
"P2","Moderate-infiltration","Orthophosphate","Load",39,0.0678623076923077,0.0573225182381758,0.0518
"P2","Moderate-infiltration","Orthophosphate","Yield",39,0.00306966666666667,0.00259253936003551,0.00235
"P2","Moderate-infiltration","Total phosphorus","Concentration",39,1.67348717948718,3.26064897376189,0.419
"P2","Moderate-infiltration","Total phosphorus","Load",39,1.16969974358974,3.07126047576603,0.21
"P2","Moderate-infiltration","Total phosphorus","Yield",39,0.0529172564102564,0.138745086839085,0.00951
"P3","Moderate-infiltration","Suspended sediment","Concentration",52,837.805769230769,1904.89102178262,93.5
"P3","Moderate-infiltration","Suspended sediment","Load",52,868.515153846154,3197.57801834776,30.45
"P3","Moderate-infiltration","Suspended sediment","Yield",52,65.8267326923077,242.626001153108,2.31
"P3","Moderate-infiltration","Total dissolved solids","Concentration",31,294.161290322581,185.918278960442,263
"P3","Moderate-infiltration","Total dissolved solids","Load",31,269.758064516129,363.684914703367,110
"P3","Moderate-infiltration","Total dissolved solids","Yield",31,20.4156451612903,27.4823966016411,8.37
"P3","Moderate-infiltration","Orthophosphate","Concentration",52,0.345192307692308,0.300769408022846,0.293
"P3","Moderate-infiltration","Orthophosphate","Load",52,0.417305192307692,1.34681736668557,0.106
"P3","Moderate-infiltration","Orthophosphate","Yield",52,0.0316294230769231,0.102066300062484,0.00803
"P3","Moderate-infiltration","Total phosphorus","Concentration",52,1.76073076923077,2.87892829403095,0.573
"P3","Moderate-infiltration","Total phosphorus","Load",52,1.91232365384615,5.303146512349,0.3005
"P3","Moderate-infiltration","Total phosphorus","Yield",52,0.144765288461538,0.401229503390801,0.0228
"R1","High-infiltration","Suspended sediment","Concentration",64,374.63125,669.596966880493,58.55
"R1","High-infiltration","Suspended sediment","Load",64,294.861403125,923.083019123746,28.95
"R1","High-infiltration","Suspended sediment","Yield",64,17.4476053125,54.5787320784746,1.71
"R1","High-infiltration","Total dissolved solids","Concentration",55,116.8,108.00410314565,108
"R1","High-infiltration","Total dissolved solids","Load",55,114.786554545455,229.63969855355,43
"R1","High-infiltration","Total dissolved solids","Yield",55,6.78969218181818,13.5728550272522,2.54
