"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Post-growing season","Full","R2c",194,0.686577605909145,0.0816768492792658,0.692570997291987,0.62907772984363,0.749147816185461
"Post-growing season","Full","R2m",200,0.476907159607767,0.102723621139175,0.492361982837051,0.431920399523813,0.539834797768448
"Post-growing season","Full","RMSE",200,1.24654919957584,0.129072046617942,1.24500418682823,1.14781179499723,1.32388655044258
"Post-growing season","Full","Random_R2",194,0.212619528589966,0.1199151840248,0.199764285150388,0.135955660129888,0.276656069993344
"Post-growing season","Site","R2c",200,0.678604223277741,0.0727650620225634,0.690679058298009,0.625609349581012,0.734571131792979
"Post-growing season","Site","R2m",200,0.420412867283155,0.0895629413525707,0.420766050037297,0.375053285244333,0.478110436480525
"Post-growing season","Site","RMSE",200,1.24915278893512,0.111273111782471,1.2490911028592,1.16635641425144,1.33019266041336
"Post-growing season","Site","Random_R2",200,0.258191355994586,0.098914954083214,0.260456322499205,0.187307901924742,0.321256122012507
"Post-growing season","Storm","R2c",200,0.694149847961466,0.0774599656887344,0.701473117620676,0.638480744036062,0.751500517227667
"Post-growing season","Storm","R2m",200,0.0449097802097296,0.0267729615548498,0.0388643708879911,0.0259428000430003,0.0584464076583677
"Post-growing season","Storm","RMSE",200,1.23069567465483,0.105025230857414,1.23272887211562,1.15310827131264,1.30656154899733
"Post-growing season","Storm","Random_R2",200,0.649240067751736,0.0809642617803855,0.65728062051111,0.607054887163107,0.700409962392919
"Pre-growing season","Agricultural","R2c",200,0.475297528991727,0.10742009910942,0.469720959836767,0.397314886529584,0.537648669832712
"Pre-growing season","Agricultural","R2m",200,0.149846460247797,0.0570399290602301,0.142879622599735,0.1058012205738,0.188335339610594
"Pre-growing season","Agricultural","RMSE",200,1.36295582884545,0.127711201812304,1.35417108801669,1.28200699239814,1.45277742593328
"Pre-growing season","Agricultural","Random_R2",200,0.32545106874393,0.125198235880137,0.325070678460695,0.237827668217797,0.390832769037664
"Pre-growing season","Full","R2c",164,0.488758198299329,0.0911106922255501,0.478434773135517,0.429711727545177,0.544148975623731
"Pre-growing season","Full","R2m",200,0.369548502509088,0.066764247247307,0.373913120961573,0.321826278570773,0.414183658273388
"Pre-growing season","Full","RMSE",200,1.41781591165284,0.137682012212682,1.41148309822828,1.33113769894763,1.51855034057584
"Pre-growing season","Full","Random_R2",164,0.125910650474045,0.087523191147081,0.106404952811356,0.0590420748398412,0.181352815533509
"Pre-growing season","Site","R2c",179,0.460668886618375,0.0940019420861583,0.453064309714479,0.388065098973397,0.525596668986415
"Pre-growing season","Site","R2m",200,0.309643263191746,0.0684894505448595,0.309194606316797,0.258982959302302,0.352300322115224
"Pre-growing season","Site","RMSE",200,1.44318407700569,0.137303948707014,1.43600903863355,1.34132962027717,1.54652367231488
"Pre-growing season","Site","Random_R2",179,0.153159904222319,0.0897027526205299,0.137101699442939,0.0840573971365629,0.22031697267932
"Pre-growing season","Storm","R2c",200,0.435038282929147,0.105739939947458,0.43112140645059,0.362908705022077,0.51104440050039
"Pre-growing season","Storm","R2m",200,0.0926970276403694,0.0453356586826452,0.0869836383594517,0.0579807886997203,0.120947017559039
"Pre-growing season","Storm","RMSE",200,1.40319895338838,0.126371927619744,1.39990981330621,1.30860529230597,1.48734856946875
"Pre-growing season","Storm","Random_R2",200,0.342341255288777,0.11929968103376,0.343050341425021,0.258562746955111,0.426561240134928
