"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",12,"Storm",114,TRUE,TRUE,476.882220465218,,1.58627672039937,0.0725033366134962,0.309253769568445,0.981286720590997,FALSE
"Pre-growing season",12,"Agricultural",114,TRUE,TRUE,478.543025291083,,1.64057198570681,0.129641196221637,0.261295936572617,0.525866431124003,FALSE
"Pre-growing season",12,"Site",114,TRUE,TRUE,467.356712125197,,1.72142478182537,0.273421758455522,,6.54365310214947e-14,TRUE
"Pre-growing season",12,"Full",114,TRUE,TRUE,467.45819995876,,1.67746150548932,0.310283488322946,,0,TRUE
"Pre-growing season",13,"Storm",114,TRUE,TRUE,432.248465711421,,1.25366322770097,0.125370493562994,0.440209646623531,1.02598090143255,FALSE
"Pre-growing season",13,"Agricultural",114,TRUE,TRUE,432.343489951183,,1.23806732185761,0.185600524310439,0.452460534535437,0.860717792589878,FALSE
"Pre-growing season",13,"Site",114,TRUE,TRUE,429.888446748081,,1.29891701543833,0.308574207396893,0.431244576885184,0.401695420527437,FALSE
"Pre-growing season",13,"Full",114,TRUE,TRUE,419.318532027518,,1.35817616912351,0.470662487874072,,0,TRUE
"Pre-growing season",14,"Storm",114,TRUE,TRUE,422.314807188595,,1.17647995751918,0.21024149582082,0.558308907165244,1.27028608116894,FALSE
"Pre-growing season",14,"Agricultural",114,TRUE,TRUE,427.830857528292,,1.17912770451106,0.216036749361879,0.552195328326746,1.21320037497731,FALSE
"Pre-growing season",14,"Site",114,TRUE,TRUE,408.475159216038,,1.21762364547887,0.503264598275161,0.565831722915932,0.230596383600301,FALSE
"Pre-growing season",14,"Full",114,TRUE,TRUE,413.284115417697,,1.22552312473383,0.513967391527579,0.564841888616072,0.187834249963423,FALSE
"Pre-growing season",15,"Storm",114,TRUE,TRUE,470.984674508392,,1.46364392103813,0.0577677299066198,0.442876828473456,1.72585622829504,FALSE
"Pre-growing season",15,"Agricultural",114,TRUE,TRUE,474.581466803082,,1.40963723668561,0.0772763067203756,0.5197579938048,2.15919360972814,FALSE
"Pre-growing season",15,"Site",114,TRUE,TRUE,465.812993036108,,1.48531896700124,0.328854592058954,0.482859893460685,0.736029691503944,FALSE
"Pre-growing season",15,"Full",114,TRUE,TRUE,466.863113618925,,1.51009838722853,0.374786959016886,0.468042903278861,0.436444549142209,FALSE
"Pre-growing season",16,"Storm",114,TRUE,TRUE,482.463483414177,,1.55141382043205,0.0252242854800709,0.398861694513477,1.74163653085046,FALSE
"Pre-growing season",16,"Agricultural",114,TRUE,TRUE,487.362124193863,,1.55658150645071,0.0427757104999353,0.390284989755051,1.60090293707413,FALSE
"Pre-growing season",16,"Site",114,TRUE,TRUE,483.223481091853,,1.57081308935658,0.203468288614175,0.423453242036854,1.06931695488641,FALSE
"Pre-growing season",16,"Full",114,TRUE,TRUE,487.04812687534,,1.58681801345263,0.238357671488112,0.414637117075421,0.850676952528645,FALSE
"Pre-growing season",17,"Storm",114,TRUE,TRUE,469.500793739232,,1.33645018747442,0.0544349126280375,0.63416207183223,3.42028884019429,FALSE
"Pre-growing season",17,"Agricultural",114,TRUE,TRUE,468.788466382599,,1.23803601584617,0.118298551664334,0.747187476230602,4.67093827679782,FALSE
"Pre-growing season",17,"Site",114,TRUE,TRUE,465.550837858662,,1.34199931790153,0.297372060417832,0.631429320650624,1.93043076338886,FALSE
"Pre-growing season",17,"Full",114,TRUE,TRUE,463.778104498039,,1.26751115183062,0.339111684266037,0.691363836800806,2.18919488473159,FALSE
"Pre-growing season",18,"Storm",114,TRUE,TRUE,420.834222707178,,1.12455791587248,0.0623422697921258,0.513744446529159,1.40468616776883,FALSE
"Pre-growing season",18,"Agricultural",114,TRUE,TRUE,422.030169257961,,1.06681392124805,0.0921480474881902,0.596946030034868,1.72695956283172,FALSE
"Pre-growing season",18,"Site",114,TRUE,TRUE,418.525865562962,,1.13336624472735,0.260032377227818,0.522375096466936,0.823106118928394,FALSE
"Pre-growing season",18,"Full",114,TRUE,TRUE,416.229257863734,,1.10466027740773,0.322552915738508,0.545728548227526,0.695341391905143,FALSE
"Pre-growing season",19,"Storm",114,TRUE,TRUE,459.27698076813,,1.47715694660331,0.102418909001299,0.328072952415925,0.827551150646836,FALSE
"Pre-growing season",19,"Agricultural",114,TRUE,TRUE,463.418637843855,,1.4214997765,0.128499154388304,0.410635618229068,1.11138164963044,FALSE
"Pre-growing season",19,"Site",114,TRUE,TRUE,450.480854623624,,1.54750212765879,0.31414761604927,0.33924958593633,0.0938441075613983,FALSE
"Pre-growing season",19,"Full",114,TRUE,TRUE,454.234225654722,,1.53386519760288,0.328188529250868,0.351932389151704,0.0888347151379172,FALSE
"Pre-growing season",20,"Storm",114,TRUE,TRUE,452.534818785648,,1.48168738327212,0.110213955225778,0.278229093104474,0.564806849544264,FALSE
"Pre-growing season",20,"Agricultural",114,TRUE,TRUE,451.703338924409,,1.42508185213915,0.162119744542484,0.336439857347278,0.59326549487581,FALSE
"Pre-growing season",20,"Site",114,TRUE,TRUE,452.317160065123,,1.49163129534814,0.2398361749062,0.320701718294354,0.283629314445256,FALSE
"Pre-growing season",20,"Full",114,TRUE,TRUE,449.645260235848,,1.44928513070245,0.301862423387705,0.365161317923683,0.222622065705635,FALSE
"Pre-growing season",21,"Storm",114,TRUE,TRUE,460.837736216736,,1.4662756987568,0.0885540295210594,0.363595225549109,1.05519490203839,FALSE
"Pre-growing season",21,"Agricultural",114,TRUE,TRUE,461.388955835055,,1.45325733345246,0.124401902846244,0.355636595701954,0.853446120351285,FALSE
"Pre-growing season",21,"Site",114,TRUE,TRUE,448.346333044017,,1.58371515974774,0.317627705218011,,0,TRUE
"Pre-growing season",21,"Full",114,TRUE,TRUE,445.451878536994,,1.5231227808869,0.369129425009535,,0,TRUE
"Pre-growing season",22,"Storm",114,TRUE,TRUE,427.377426415554,,1.28162361149496,0.110182912901281,0.342596147148354,0.656687853543878,FALSE
"Pre-growing season",22,"Agricultural",114,TRUE,TRUE,432.080473309982,,1.28957540741131,0.128041005160249,0.332320970893608,0.571087061771652,FALSE
"Pre-growing season",22,"Site",114,TRUE,TRUE,426.400962926174,,1.31397515045006,0.245869264991268,0.341946314600571,0.272758118035605,FALSE
"Pre-growing season",22,"Full",114,TRUE,TRUE,431.741998504014,,1.30771427602138,0.249184693747447,0.347433888837954,0.278992637477825,FALSE
"Pre-growing season",23,"Storm",114,TRUE,TRUE,448.386389394818,,1.37075388791945,0.0817307489266432,0.37298973817763,1.00150644462912,FALSE
"Pre-growing season",23,"Agricultural",114,TRUE,TRUE,450.304001009575,,1.33265255839086,0.118123789941619,0.420100083299721,1.06713634680568,FALSE
"Pre-growing season",23,"Site",114,TRUE,TRUE,435.959544181889,,1.45667303379964,0.379651838806376,0.40000554073214,0.0740286759878591,FALSE
"Pre-growing season",23,"Full",114,TRUE,TRUE,439.419423086583,,1.40341610550694,0.388658057614075,0.430402454264904,0.15190333083293,FALSE
"Pre-growing season",24,"Storm",114,TRUE,TRUE,470.067395275749,,1.39722110946688,0.0283601583627423,0.492381328780234,2.13737872691844,FALSE
"Pre-growing season",24,"Agricultural",114,TRUE,TRUE,466.75332609857,,1.39642126019607,0.140048327124928,0.4691512352185,1.41980648601967,FALSE
"Pre-growing season",24,"Site",114,TRUE,TRUE,465.111208889076,,1.40640383720765,0.268319398239921,0.50903527645692,1.12470627658149,FALSE
"Pre-growing season",24,"Full",114,TRUE,TRUE,456.243859706358,,1.40964486772099,0.413851668318401,0.521855162466541,0.498748409083124,FALSE
"Pre-growing season",25,"Storm",114,TRUE,TRUE,446.497224028332,,1.24749593319569,0.0690201308789702,0.528880483496085,1.82642270593418,FALSE
"Pre-growing season",25,"Agricultural",114,TRUE,TRUE,444.454840440369,,1.19782016661348,0.128294833552176,0.56990628300034,1.77511370251231,FALSE
"Pre-growing season",25,"Site",114,TRUE,TRUE,443.79462856433,,1.27793897870671,0.311255971415719,0.536210177261511,0.920496708181241,FALSE
"Pre-growing season",25,"Full",114,TRUE,TRUE,436.264329071969,,1.28418507290301,0.436277284356969,0.543622451422466,0.433053416435349,FALSE
"Pre-growing season",26,"Storm",114,TRUE,TRUE,452.636600315915,,1.36645207793501,0.0545167835928789,0.442739497019642,1.50242121205969,FALSE
"Pre-growing season",26,"Agricultural",114,TRUE,TRUE,456.622318508956,,1.3111138954008,0.0833492340861529,0.541548214289469,2.01296883746827,FALSE
"Pre-growing season",26,"Site",114,TRUE,TRUE,437.624224726834,,1.4293288533242,0.430911319583884,0.472460667739966,0.169193714461151,FALSE
"Pre-growing season",26,"Full",114,TRUE,TRUE,439.315770207128,,1.48267803036553,0.452763419436527,,5.77077256458925e-14,TRUE
"Pre-growing season",27,"Storm",114,TRUE,TRUE,445.140304882605,,1.32732223124377,0.0381160497856753,0.384881605635929,1.15107967980086,FALSE
"Pre-growing season",27,"Agricultural",114,TRUE,TRUE,443.252090955792,,1.28603149698462,0.137760335170721,0.442190532667407,1.04448037905907,FALSE
"Pre-growing season",27,"Site",114,TRUE,TRUE,440.320357879698,,1.37350225417432,0.269078371861223,0.383721466047289,0.384613150920546,FALSE
"Pre-growing season",27,"Full",114,TRUE,TRUE,428.020611074922,,1.35827275386801,0.405949759940317,0.432217494182145,0.0884799670513841,FALSE
"Pre-growing season",28,"Storm",114,TRUE,TRUE,445.167645480549,,1.34617046504237,0.0897248739627483,0.411780349022593,1.13844692866216,FALSE
"Pre-growing season",28,"Agricultural",114,TRUE,TRUE,448.08201920331,,1.32566265360626,0.104547715809856,0.425586164637676,1.128096464277,FALSE
"Pre-growing season",28,"Site",114,TRUE,TRUE,441.482432407251,,1.386751476875,0.271835539763001,0.389008487451139,0.40215136754384,FALSE
"Pre-growing season",28,"Full",114,TRUE,TRUE,442.415543260101,,1.34827715030394,0.311151744705224,0.430615383609245,0.417649621610888,FALSE
"Pre-growing season",29,"Storm",114,TRUE,TRUE,425.897813123921,,1.16168660102172,0.0551213825434764,0.502550809226584,1.44712900906597,FALSE
"Pre-growing season",29,"Agricultural",114,TRUE,TRUE,428.94094951725,,1.13367597380867,0.0640734422872184,0.53237386238353,1.54264951952319,FALSE
"Pre-growing season",29,"Site",114,TRUE,TRUE,418.684615034372,,1.17063568497559,0.382706844919228,0.566683795136767,0.6661730573846,FALSE
"Pre-growing season",29,"Full",114,TRUE,TRUE,419.458074151013,,1.13808254197381,0.416503058069721,0.597498313969057,0.668997807223652,FALSE
"Pre-growing season",30,"Storm",114,TRUE,TRUE,471.616270087913,,1.57956379282783,0.127871195764051,0.322380084657415,0.802813025378213,FALSE
"Pre-growing season",30,"Agricultural",114,TRUE,TRUE,465.68414976794,,1.53723565381019,0.232258861940283,0.36338453632828,0.536362952843477,FALSE
