"Season","Rep","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"June",1,1278,FALSE,TRUE,TRUE,567.020159788255,558.40999022505,568.131143551391,559.505329721798,0.942651005506037,0.947838893250615,0.943261647090216,0.947905601995105,,,,,0.628574651471223,0.629621617025038,0.658084043561817,0.655128396702746,0.786122975980009,0.806955535210303,0.786693343400666,0.804994383044606,2.42341698316454,3.0221286432471,1.98356508878951,2.52833400641911,FALSE,FALSE,FALSE,FALSE
"June",2,1278,FALSE,TRUE,TRUE,609.116576817775,610.735749340566,612.865008998609,613.945390690293,0.939187411455171,0.940432098765432,0.939131754705525,0.940927949807731,,,,,0.58724810979046,0.581706220015314,0.599461823437669,0.594758374519551,0.760872507160064,0.77263373150974,0.752454009514186,0.763566633381794,2.38868967074749,2.76261883560094,2.03325497896333,2.34889398006357,FALSE,FALSE,FALSE,FALSE
"June",3,1278,FALSE,TRUE,TRUE,587.191139303418,572.658805619465,588.792913118958,574.116951964026,0.94080730280987,0.946845433366614,0.940706931435786,0.946850716070514,,,,,0.581273147622931,0.595988797642604,0.600468708342618,0.610985468777337,0.743146393693175,0.780461547510872,0.733748868694883,0.769139303593679,2.07332745528343,2.76439509546515,1.6468442791118,2.25376285129291,FALSE,FALSE,FALSE,FALSE
"June",4,1278,FALSE,TRUE,TRUE,555.001597568712,547.887568774297,555.276920234139,548.5589481814,0.948779366700715,0.952507660878447,0.948840653728294,0.95270684371808,,,,,0.59962149278457,0.588337148302618,0.625232359818353,0.61144986886481,0.774140974444422,0.799516900260991,0.759782971390891,0.782353627757106,2.54205507178503,3.46539702026861,1.84272435615784,2.5833227749886,FALSE,FALSE,FALSE,FALSE
"June",5,1278,FALSE,TRUE,TRUE,555.77313023954,547.421628151903,557.492122124705,548.359610505962,0.937109734256256,0.941907885183213,0.936885860883876,0.941502492860255,,,,,0.53447860295782,0.537942314626508,0.564939287296859,0.571054352042154,0.726207158571035,0.753093259719239,0.727074368609903,0.751306856440041,2.30379166284814,2.86674327882003,1.95438967988929,2.38449263919735,FALSE,FALSE,FALSE,FALSE
"June",6,1278,FALSE,TRUE,TRUE,564.950895250832,561.854924229171,567.93529300621,564.259413626251,0.944092918436335,0.947251235156453,0.944092918436335,0.947554606916876,,,,,0.596064802150773,0.593486024939316,0.605683828099261,0.602758873804453,0.768499665450477,0.785485362835283,0.75651094417267,0.770813264657394,2.45048441511713,2.94456598292508,2.03787936661568,2.41234198989903,FALSE,FALSE,FALSE,FALSE
"June",7,1278,FALSE,TRUE,TRUE,584.719998551496,586.978141753419,587.396947112098,589.126469274383,0.935044205012337,0.9357917277893,0.93471259716391,0.935741143541235,,,,,0.534044106847165,0.532352782507306,0.546658318025407,0.544867910242683,0.729106007001471,0.734873306636731,0.714621954543299,0.718830925274904,2.36892639187978,2.51300919685214,1.93630247384896,2.03548480627125,FALSE,FALSE,FALSE,FALSE
"June",8,1278,FALSE,TRUE,TRUE,545.91792522606,542.496353053281,547.763209495904,543.903603009441,0.942947536383394,0.946061789870423,0.942997056315167,0.945786679138353,,,,,0.630586069443883,0.631880410305315,0.646374161774944,0.647132397335261,0.772360355473889,0.786691113443498,0.761122468002006,0.771799692281113,2.04893443213133,2.38764923126891,1.58033613665781,1.79727610824137,FALSE,FALSE,FALSE,FALSE
"June",9,1278,FALSE,TRUE,TRUE,541.742439724125,539.514898788882,546.395882649265,543.531544131852,0.943254648915026,0.94768711372485,0.943368999972774,0.948149963244303,,,,,0.595776671304895,0.588119262661588,0.60203468090385,0.59266004020829,0.757490422774011,0.777239458790272,0.752198867917232,0.772102055702509,2.19379755564454,2.79304630570281,1.99361629031118,2.59037250397519,FALSE,FALSE,FALSE,FALSE
"June",10,1278,FALSE,TRUE,TRUE,537.243584645583,525.216437393054,539.689189312949,527.662915250387,0.951974431893971,0.955890748635425,0.951206108173577,0.955837392821509,,,,,0.627461467529287,0.624481964552056,0.647399821987682,0.640385508598571,0.809995620049581,0.831581334299293,0.798666343885181,0.819228381801449,3.16052341448387,4.04545193494662,2.47175221316135,3.25476684532757,FALSE,FALSE,FALSE,FALSE
