"Analysis","Month","Complete_Events","Sites","Response_Events","Balanced_Sample_n"
"Runoff magnitude","June",206,25,206,92
"Runoff magnitude","July",161,22,161,92
"Runoff magnitude","August",113,25,113,92
"Runoff magnitude","September",92,17,92,92
