"Analysis","Month","Complete_Events","Sites","Response_Events","Balanced_Sample_n"
"Runoff occurrence","June",1705,28,214,1278
"Runoff occurrence","July",1425,28,157,1278
"Runoff occurrence","August",1419,28,126,1278
"Runoff occurrence","September",1278,28,94,1278
