"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"August","Agricultural","R2c",200,0.736816614756638,0.0614160602411017,0.740263952525532,0.704343637143441,0.774061566087246
"August","Agricultural","R2m",200,0.216291676213358,0.0644819076418621,0.213779204986226,0.169467884415651,0.256713949277194
"August","Agricultural","RMSE",200,1.04904225362092,0.123641464925309,1.05295437094912,0.968283364209187,1.14608647864675
"August","Agricultural","Random_R2",200,0.52052493854328,0.0831966323628278,0.513035442003015,0.467505150363739,0.575326553682306
"August","Full","R2c",200,0.726523503265901,0.0664185277717128,0.734855434098706,0.686472994328498,0.768390319267008
"August","Full","R2m",200,0.378694497755891,0.0575991920178221,0.378530551737429,0.341939606297224,0.417318293744986
"August","Full","RMSE",200,1.05814539422526,0.127429458792347,1.06105790476551,0.973136310010618,1.14986266043325
"August","Full","Random_R2",200,0.347829005510011,0.0725463255134532,0.348989367544561,0.296446305191248,0.393777765697561
"August","Site","R2c",200,0.715060535917043,0.0636838816720362,0.714349231064652,0.675467381812801,0.755530398768219
"August","Site","R2m",200,0.361982328218117,0.0550727387064659,0.361714975219309,0.329204900798063,0.393921322316386
"August","Site","RMSE",200,1.07233587816088,0.12541138411036,1.07752804053579,0.987932762227859,1.17194651841942
"August","Site","Random_R2",200,0.353078207698926,0.073872608584953,0.352960191906889,0.305764446609223,0.401891233631969
"August","Storm","R2c",200,0.718910224578179,0.063552028631221,0.720948291664782,0.680267411149231,0.761757734013446
"August","Storm","R2m",200,0.174426404233682,0.0471958220867646,0.176291119466502,0.139196313583164,0.207044431374154
"August","Storm","RMSE",200,1.0664978380619,0.123710259069744,1.07218164902706,0.984042028733268,1.16516552429187
"August","Storm","Random_R2",200,0.544483820344497,0.0809903497581729,0.541179954208306,0.493052518190392,0.599105779414584
"July","Agricultural","R2c",200,0.509927610683073,0.121520141972927,0.510675993756023,0.425163346789996,0.598254491478433
"July","Agricultural","R2m",200,0.142722138601191,0.0653394427081868,0.135251922312905,0.0949390217341884,0.177939728278049
"July","Agricultural","RMSE",200,1.39610954793227,0.18330554224773,1.39944729743043,1.2637761188944,1.53858052689824
"July","Agricultural","Random_R2",200,0.367205472081882,0.10374986162002,0.367055403941901,0.290925305280255,0.444660576031818
"July","Full","R2c",193,0.500084447402033,0.119373243391304,0.504925621706034,0.413120816852268,0.587923802780379
"July","Full","R2m",200,0.218710145891926,0.0656313847363864,0.206455107652448,0.173505379604334,0.269282322593309
"July","Full","RMSE",200,1.41533383692562,0.19665850720734,1.41226215555705,1.26688580965475,1.55892648356303
"July","Full","Random_R2",193,0.281858791306362,0.102028981664248,0.285218407511833,0.215248416751116,0.342345980971136
"July","Site","R2c",194,0.469656109344844,0.115434131902291,0.466873094751549,0.379408321781892,0.545291004711428
"July","Site","R2m",200,0.196422950195034,0.0644094644595261,0.190940364829384,0.152059174967302,0.238038067973997
"July","Site","RMSE",200,1.44488673286802,0.19769957640631,1.4416385685697,1.30250393260539,1.58984806321606
"July","Site","Random_R2",194,0.272656232408838,0.101702267572825,0.267679207115163,0.199815468413576,0.340866863352903
"July","Storm","R2c",200,0.480725922619504,0.118042861976924,0.48371496924638,0.395100719356434,0.557459386133845
"July","Storm","R2m",200,0.11225443099372,0.0560230012694939,0.109073701521121,0.0655186323202926,0.147876248246436
"July","Storm","RMSE",200,1.42372293685192,0.184956230798735,1.42688269403225,1.28767760358,1.55960311508117
"July","Storm","Random_R2",200,0.368471491625784,0.102971514764321,0.368644872051444,0.300436472718647,0.440833009482193
"June","Agricultural","R2c",196,0.404863808584662,0.129129954974584,0.398914750071489,0.31249935040793,0.48891313093393
"June","Agricultural","R2m",200,0.106061000995403,0.0528521737487136,0.0983460493776743,0.0622511849395447,0.137534134504165
"June","Agricultural","RMSE",200,1.52708675937682,0.171054977366624,1.52133445530625,1.41891069362996,1.63513052657382
"June","Agricultural","Random_R2",196,0.298828570169755,0.114913808450726,0.295696822776541,0.225472392609922,0.367115259969296
"June","Full","R2c",155,0.380732991979607,0.115433215136088,0.365801437343284,0.293032647187419,0.447392122390683
"June","Full","R2m",200,0.241762352492486,0.0711512912841627,0.23448972230786,0.191216740295158,0.29017673765813
"June","Full","RMSE",200,1.59340241440488,0.17782287513094,1.60918107607647,1.47372786881959,1.72380827030248
"June","Full","Random_R2",155,0.142416774200716,0.102299279229965,0.131914848139693,0.0588220773430875,0.197106742011319
"June","Site","R2c",166,0.371150985524479,0.107714812309278,0.358662479329852,0.294083854973681,0.430756212495281
"June","Site","R2m",200,0.226927103703396,0.069894527300057,0.222649520741489,0.175129735036892,0.271274296328093
"June","Site","RMSE",200,1.59389093797419,0.172447258349998,1.60932304726685,1.49446917028457,1.71854827547465
"June","Site","Random_R2",166,0.146762115463318,0.094952203800436,0.131969300507717,0.0794414723291693,0.191950189955541
"June","Storm","R2c",199,0.386415783327255,0.127954356094943,0.385389801832327,0.311067882595243,0.469054074206298
"June","Storm","R2m",200,0.0809792378579758,0.0519540502394245,0.0703529733434391,0.0413876013873284,0.113052138100768
"June","Storm","RMSE",200,1.54051740283219,0.164612314705645,1.53793954294804,1.44192617208159,1.64525771859731
"June","Storm","Random_R2",199,0.305312717406943,0.113486476642627,0.305869614741612,0.235245258838122,0.37071216243007
"September","Agricultural","R2c",200,0.70801109505352,0.0676023406540249,0.715964503264424,0.665540670062877,0.755803066656191
"September","Agricultural","R2m",200,0.193648469319723,0.0435074845970484,0.193678572241085,0.162386739633363,0.222676514330536
"September","Agricultural","RMSE",200,1.2829054991096,0.13157364716694,1.27852942567871,1.19681166066825,1.3655326970764
"September","Agricultural","Random_R2",200,0.514362625733798,0.0695459981596769,0.516757855576851,0.464045920579216,0.557238502743185
"September","Full","R2c",199,0.683096472219697,0.0780254328202873,0.691403553339872,0.633525463793587,0.734562351277373
"September","Full","R2m",200,0.327289901017219,0.0725884237437864,0.317142847269039,0.27956237875767,0.376119454883955
"September","Full","RMSE",200,1.300098784905,0.141075669664907,1.29689731510571,1.20583119279549,1.38518427372322
"September","Full","Random_R2",199,0.356433892690746,0.103710229835704,0.365830005738039,0.284240033768357,0.429271039628677
"September","Site","R2c",200,0.689943893697115,0.0672937784968206,0.697490168635045,0.646701900914121,0.733330685996264
"September","Site","R2m",200,0.298569625040514,0.0736982928156669,0.293725048868159,0.258738711434939,0.344842513922933
"September","Site","RMSE",200,1.29344903454306,0.132528362312683,1.29011158376035,1.20540902878748,1.37111031842479
"September","Site","Random_R2",200,0.391374268656601,0.0880683203748363,0.391112195551234,0.335948041195511,0.45059765784028
"September","Storm","R2c",200,0.708063399983253,0.0632453354434621,0.71280156320145,0.672710749460568,0.748738621523211
"September","Storm","R2m",200,0.166630152984179,0.0404626599315613,0.164484621550592,0.141909986473255,0.193414549802005
"September","Storm","RMSE",200,1.28638815895259,0.129929442183908,1.28539427813874,1.19615687462697,1.36499219691809
"September","Storm","Random_R2",200,0.541433246999074,0.059138536246946,0.539803089507102,0.506165692409629,0.581136393738222
