"Characteristic","Count","Definition"
"Surface monitoring sites",28,"Unique surface-runoff monitoring Site IDs"
"Updated land-cover classes",2,"Number of categories in the updated site-level land-cover classification"
"Cultivated-crop sites",23,"Sites classified as Cultivated Crops"
"Pasture/hay sites",5,"Sites classified as Pasture/Hay"
"Crop-rotation categories",9,"Distinct site-level crop-rotation descriptions"
"Detailed soil series",19,"Distinct dominant soil-series descriptions"
"Soil infiltration groups",3,"Grouped soil-infiltration categories used in the analysis"
"Soil drainage classes",3,"Distinct site-level soil-drainage classes"
"Sites with tile drainage",6,"Sites with site-level tile drainage"
