"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",12,"Storm",209,TRUE,TRUE,204.353009518106,0.866266266266266,,0.466410114326611,0.516302115241619,0.339340131740767,FALSE
"Pre-growing season",12,"Agricultural",209,TRUE,TRUE,203.205270366804,0.889289289289289,,0.515739233374521,0.579729981787327,0.500918730653171,FALSE
"Pre-growing season",12,"Site",209,TRUE,TRUE,201.992271216775,0.861461461461462,,0.517352686636923,0.523091935550369,0.0395912200257861,FALSE
"Pre-growing season",12,"Full",209,TRUE,TRUE,200.752005982652,0.880580580580581,,0.571750697635465,0.586400592086029,0.116528747364534,FALSE
"Pre-growing season",13,"Storm",209,TRUE,TRUE,233.816812501849,0.815526662898059,,0.344910481489204,0.37333720051817,0.149235214147493,FALSE
"Pre-growing season",13,"Agricultural",209,TRUE,TRUE,235.716181848329,0.836254004145468,,0.374798665474813,0.429944713269946,0.318255491289604,FALSE
"Pre-growing season",13,"Site",209,TRUE,TRUE,236.912311648086,0.813265498398342,,0.376981410071,,0,TRUE
"Pre-growing season",13,"Full",209,TRUE,TRUE,236.485216399039,0.819719238741285,,0.418690588703736,,0,TRUE
"Pre-growing season",14,"Storm",209,TRUE,TRUE,213.917544179783,0.833836206896552,,0.363701724431082,0.423009805695243,0.338161321539868,FALSE
"Pre-growing season",14,"Agricultural",209,TRUE,TRUE,219.688093973478,0.833836206896552,,0.362971618687281,0.421901871965492,0.335363068947831,FALSE
"Pre-growing season",14,"Site",209,TRUE,TRUE,213.950821316477,0.813200431034483,,0.433034017773617,,0,TRUE
"Pre-growing season",14,"Full",209,TRUE,TRUE,218.584666797522,0.811422413793103,,0.438056624657666,,0,TRUE
"Pre-growing season",15,"Storm",209,TRUE,TRUE,247.255796841546,0.77735368956743,,0.237666681243307,0.274915006228044,0.169003742255621,FALSE
"Pre-growing season",15,"Agricultural",209,TRUE,TRUE,247.34975981432,0.811900567625758,,0.301247654910777,0.367515215243851,0.344690560614258,FALSE
"Pre-growing season",15,"Site",209,TRUE,TRUE,250.152002405358,0.775396359365825,,0.272651871288815,0.294547845658307,0.102111628536518,FALSE
"Pre-growing season",15,"Full",209,TRUE,TRUE,252.087912593224,0.818066157760814,,0.326558529343928,0.382598114748399,0.298610760109032,FALSE
"Pre-growing season",16,"Storm",209,TRUE,TRUE,231.679615096476,0.810941828254848,,0.310063668486988,0.347019084237639,0.186189889644213,FALSE
"Pre-growing season",16,"Agricultural",209,TRUE,TRUE,233.288119772372,0.806588840522359,,0.335362221366018,0.33881846845046,0.0171973907357,FALSE
"Pre-growing season",16,"Site",209,TRUE,TRUE,237.098257864747,0.811337554412347,,0.32414238358601,0.351146445723855,0.136918111833049,FALSE
"Pre-growing season",16,"Full",209,TRUE,TRUE,240.018964032685,0.80787495053423,,0.339653419531532,0.346080173218625,0.0323329730837964,FALSE
"Pre-growing season",17,"Storm",209,TRUE,TRUE,228.636019075433,0.788196651833015,,0.266631627817706,0.283197944731442,0.076033540510423,FALSE
"Pre-growing season",17,"Agricultural",209,TRUE,TRUE,226.605284529862,0.836617927527018,,0.337832425737282,0.421844790070006,0.478054327813098,FALSE
"Pre-growing season",17,"Site",209,TRUE,TRUE,228.975793388817,0.783587624496715,,0.313795174250618,,0,TRUE
"Pre-growing season",17,"Full",209,TRUE,TRUE,226.592023115565,0.813731722822632,,0.383455245016045,0.397419518184584,0.0762398031363363,FALSE
"Pre-growing season",18,"Storm",209,TRUE,TRUE,217.831639454564,0.809935897435897,,0.3236850482462,0.366092553922648,0.220087494503847,FALSE
"Pre-growing season",18,"Agricultural",209,TRUE,TRUE,206.366207229987,0.816452991452991,,0.438076298601743,0.439267051216634,0.00698624735954223,FALSE
"Pre-growing season",18,"Site",209,TRUE,TRUE,223.420644039691,0.809615384615385,,0.335585372297706,0.363402204553318,0.143754362130494,FALSE
"Pre-growing season",18,"Full",209,TRUE,TRUE,211.61610585838,0.820245726495726,,0.45510516693178,,0,TRUE
"Pre-growing season",19,"Storm",209,TRUE,TRUE,217.711914301979,0.882909396678579,,0.216739617091703,0.445489205691751,1.35715298936657,FALSE
"Pre-growing season",19,"Agricultural",209,TRUE,TRUE,219.232741503967,0.88932100063065,,0.260582183906901,0.502086516473877,1.59569369810015,FALSE
"Pre-growing season",19,"Site",209,TRUE,TRUE,214.514851118446,0.869981080512928,,0.371535714290492,0.467463057584392,0.592612990229822,FALSE
"Pre-growing season",19,"Full",209,TRUE,TRUE,214.916226151806,0.887429051923481,,0.417013636568259,0.532828238675852,0.81557748227452,FALSE
"Pre-growing season",20,"Storm",209,TRUE,TRUE,244.019223291142,0.831449126413155,,0.133291061699064,0.356553603878683,1.14151594816967,FALSE
"Pre-growing season",20,"Agricultural",209,TRUE,TRUE,248.371260778448,0.839876670092497,,0.152247820033265,0.376114884059494,1.18049477589125,FALSE
"Pre-growing season",20,"Site",209,TRUE,TRUE,239.674506671907,0.811921891058582,,0.269406286492708,0.34789691059179,0.395986167236009,FALSE
"Pre-growing season",20,"Full",209,TRUE,TRUE,241.525739013388,0.809763617677287,,0.306678606633244,0.35024405794892,0.220582192078328,FALSE
"Pre-growing season",21,"Storm",209,TRUE,TRUE,244.103264707371,0.760173247381144,,0.225873880226392,0.228623879276086,0.0117285640535426,FALSE
"Pre-growing season",21,"Agricultural",209,TRUE,TRUE,248.295156523102,0.758964544721998,,0.237831414933523,,0,TRUE
"Pre-growing season",21,"Site",209,TRUE,TRUE,247.015252546611,0.760626510878324,,0.262819257716701,,0,TRUE
"Pre-growing season",21,"Full",209,TRUE,TRUE,250.21961813299,0.778505237711523,,0.278006795673391,,0,TRUE
"Pre-growing season",22,"Storm",209,TRUE,TRUE,223.783015278804,0.839313271604938,,0.381263651825299,0.437052506064946,0.326030359413278,FALSE
"Pre-growing season",22,"Agricultural",209,TRUE,TRUE,228.803051084423,0.837384259259259,,0.392424011249872,0.438452975522379,0.269664366805328,FALSE
"Pre-growing season",22,"Site",209,TRUE,TRUE,230.97533739654,0.839409722222222,,0.388897745592706,0.437601192613086,0.284900885721989,FALSE
