"Analysis","Season","Observations","Sites","Agricultural_Variables","Site_Variables","Formula","Singular"
"Runoff occurrence","Pre-growing season",455,28,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff occurrence","Post-growing season",209,26,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",TRUE
"Runoff coefficient","Pre-growing season",281,27,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",TRUE
"Runoff coefficient","Post-growing season",21,14,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",TRUE
