"Analysis","Season","Observations","Sites","Agricultural_Variables","Site_Variables","Formula","Singular"
"Runoff occurrence","Spring",4631,28,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff occurrence","Summer",5827,28,"Tillage_Passes + PerennialFrac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + MeanSlope_per + Hydrologic_Group + Tile +     (1 | Field_Name)",FALSE
"Runoff occurrence","Fall",2037,26,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff coefficient","Spring",345,28,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff coefficient","Summer",572,27,"Tillage_Passes + PerennialFrac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + MeanSlope_per + Hydrologic_Group + Tile +     (1 | Field_Name)",FALSE
"Runoff coefficient","Fall",114,20,"Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_Dur + log_ARFdays7 + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
