"Season","Rep","n","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Spring",1,2037,TRUE,TRUE,1607.35249162631,1608.3105464167,1610.3272104978,1610.76467924371,0.788494277082086,0.790151265367094,0.788246990505541,0.789892203239286,,,,,0.193294199008794,0.204052432861527,0.221582035222603,0.231805267902401,0.329609990145435,0.347870203366044,0.328207526650659,0.341899161497699,0.668955340604391,0.72553271248184,0.522160965483881,0.550363061499817,FALSE,FALSE,FALSE,FALSE
"Spring",2,2037,TRUE,TRUE,1663.70870756808,1660.02932277472,1657.48010836434,1655.32640188377,0.768626339303901,0.774686307527261,0.765645581824848,0.77144753459444,,,,,0.138123334135869,0.153091782062944,0.192364872215656,0.199970333113602,0.26161957998826,0.306233974697884,0.252803353218144,0.283244331203743,0.550239893758917,0.726206820598795,0.266107501359212,0.382222959104539,FALSE,FALSE,FALSE,FALSE
"Spring",3,2037,TRUE,TRUE,1625.75861150015,1620.16654871383,1622.07681063048,1617.53500543278,0.788129234992901,0.792148062417151,0.786177857926292,0.790369954176283,,,,,0.148707412102178,0.165716030589905,0.221544745065325,0.231903086618346,0.327557499780409,0.388043827144967,0.324389971255754,0.369722640827859,0.875008947187714,1.19523123642827,0.500802560577142,0.719378783000686,FALSE,FALSE,FALSE,FALSE
"Spring",4,2037,TRUE,TRUE,1562.79796121187,1565.40867243698,1557.33720059256,1559.35622756909,0.778990508904849,0.780993069026472,0.776989741585483,0.778915211210034,,,,,0.172643617074531,0.178402352338515,0.233110487265874,0.236745916495975,0.307338182570073,0.321027976608914,0.300723654320119,0.304244784447843,0.639745612729285,0.691073387666651,0.318097995283657,0.319167387856675,FALSE,FALSE,FALSE,FALSE
"Spring",5,2037,TRUE,TRUE,1600.10383379692,1600.77233654628,1594.84828261665,1595.58115782094,0.797834571655781,0.799914154807497,0.796974456064231,0.798581557923877,,,,,0.180800367767027,0.191799492339868,0.255738423922095,0.26338147476644,0.335213324155477,0.355528811925077,0.336205191953538,0.34910125776875,0.764152295932935,0.835798218791041,0.398805553703078,0.433257531824345,FALSE,FALSE,FALSE,FALSE
"Spring",6,2037,TRUE,TRUE,1649.467095232,1655.10413590969,1648.07912278389,1653.65336650364,0.790060196256288,0.790141007668838,0.788641873505401,0.788570957367857,,,,,0.144965533463492,0.144507425035691,0.200514040070818,0.200138886051903,0.32256747190001,0.327231019519445,0.315121782367798,0.316716779762825,0.862502069960827,0.893525932686683,0.550527596805841,0.561298574666999,FALSE,FALSE,FALSE,FALSE
"Spring",7,2037,TRUE,TRUE,1686.21670638983,1689.32656322362,1680.71702017302,1683.93312442481,0.753722531866098,0.755005342207523,0.751874876652852,0.752958630217159,,,,,0.123421959736438,0.129473606276673,0.178519529628785,0.180782550544023,0.253582159659817,0.263321805878434,0.248635555201922,0.252308630946271,0.573686574544268,0.597741225593831,0.307004782820804,0.314717251506291,FALSE,FALSE,FALSE,FALSE
"Spring",8,2037,TRUE,TRUE,1703.40285753491,1696.9159441143,1703.73695262214,1697.80996329623,0.76783477712047,0.773649167901162,0.766343572285827,0.771963386997086,,,,,0.16902394456501,0.193203443949486,0.198765076905992,0.216102193060123,0.275452837590725,0.319162527307415,0.269825240987319,0.304386795542657,0.483249458193476,0.608645662304728,0.320167968696309,0.417537646701116,FALSE,FALSE,FALSE,FALSE
"Spring",9,2037,TRUE,TRUE,1699.42209540568,1702.98104811597,1697.41291648732,1701.59190482176,0.786444266930402,0.787035452090228,0.786144711983466,0.786884882143355,,,,,0.150521052045875,0.15287265982025,0.201000958818807,0.200367239491269,0.325534822378293,0.338267069125741,0.309289244714302,0.318821483161989,0.85367228002038,0.921705919235101,0.515779113462407,0.572095026370439,FALSE,FALSE,FALSE,FALSE
"Spring",10,2037,TRUE,TRUE,1755.88237811549,1752.88283242426,1752.75458193032,1749.47773144019,0.774277120808435,0.77625927072826,0.772990946189152,0.775301154951082,,,,,0.151491454889007,0.172568841644993,0.212829994021843,0.228449798842966,0.308109122530354,0.327579387808182,0.305633979799504,0.318907001516533,0.74470048778715,0.758400689929581,0.43970019644941,0.436933383842921,FALSE,FALSE,FALSE,FALSE
