"Season","Rep","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Pre-growing season",35,135,TRUE,TRUE,TRUE,557.941717402655,559.950955728994,558.467944458419,557.456757682252,,,,,1.69879763627144,1.68790508087176,1.72287314613264,1.72384023699935,0.271468617799203,0.292431082781674,0.309458338967982,0.340205113231395,0.340290159498561,0.350015866195484,0.333719801102166,0.343472381157438,0.321571409711145,0.267775200329701,0.111382222580388,0.0148601986987329,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",36,135,TRUE,TRUE,TRUE,559.262299802699,563.240129600602,561.354073135255,564.025799128173,,,,,1.73867242878354,1.72409173239126,1.75028601924123,1.73230108806099,0.333726648093056,0.344897067884919,0.360155605692487,0.375408170026389,0.378844644879674,0.39016596969282,0.378821014552776,0.392114406609421,0.230946496735872,0.232261148724736,0.0944095701819071,0.0844261834512547,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",37,135,TRUE,TRUE,TRUE,558.621368118328,560.973959642382,560.743939964144,563.22297069408,,,,,1.78325688006068,1.77364849851532,1.79286840826267,1.76964006547842,0.302959086269684,0.32142886854181,0.331472798446725,0.348767055982511,0.324201971018271,0.335443873694556,,,0.102589964778067,0.0675793521046216,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",38,135,TRUE,TRUE,TRUE,571.227192999812,575.285197535325,566.980679401622,571.818010972318,,,,,1.71061474279952,1.68387579962573,1.74923521800178,1.70527579133956,0.243678719316445,0.256142169640583,0.337058162193672,0.341852224929022,0.375629449225404,0.399240357337589,0.374992869848513,0.400516257736161,0.681238177637326,0.748319476805072,0.194158425515318,0.302800738451607,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",39,135,TRUE,TRUE,TRUE,563.184145222133,566.048530572558,556.001312540576,557.508328793043,,,,,1.68430460547509,1.67541961008148,1.76165113339401,1.73257862369698,0.373055088107571,0.390865232959618,0.457790448208624,0.475608391363355,0.464934021274849,0.472838481691369,,,0.531269714908995,0.473843365244455,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",40,135,TRUE,TRUE,TRUE,543.361890200287,546.652336019182,545.370162231574,547.769145832592,,,,,1.73036810540549,1.71434842563015,1.69363462029724,1.67119641266208,0.216343170154956,0.231971645679371,0.250522276225674,0.270357132926401,0.216920168408956,,,,0.00220782192201676,8.07753245536608e-15,0,0,FALSE,TRUE,TRUE,TRUE
"Pre-growing season",41,135,TRUE,TRUE,TRUE,554.943574483525,558.674759526281,556.969950169333,556.864562827616,,,,,1.68645988979281,1.65894451125337,1.70217681767915,1.69648057227136,0.24870169866566,0.263786780630025,0.285418267073066,0.315224436841181,0.316739341448248,0.340345353149422,0.316929798327636,0.329010901093647,0.301437631120433,0.34213271775791,0.138535068659974,0.0602165101546693,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",42,135,TRUE,TRUE,TRUE,540.094656452039,544.553410084124,530.194031036373,534.064677442155,,,,,1.49489563847376,1.48702426993926,1.60106493009205,1.58848779978138,0.330036297307554,0.341067056997905,0.408789996399847,0.418082166382645,0.470717855361129,0.478835854143177,,,0.663844037879851,0.6531061689767,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",43,135,TRUE,TRUE,TRUE,538.968129365051,544.453644170763,536.294842606177,541.821683377899,,,,,1.57385836978133,1.55817635125036,1.62645264627982,1.59930070949364,0.386163182400654,0.388954639767982,0.431740599287261,0.434727187803636,0.450739166968714,0.461760514758304,0.435741332286289,0.448178295747885,0.312519369892984,0.3546452158053,0.0188840923161831,0.0636880525959159,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",44,135,TRUE,TRUE,TRUE,551.640890252757,553.608990787116,549.243931441548,550.343945897786,,,,,1.64188981891862,1.6605174206251,1.71328759279457,1.68720966945383,0.295531805397799,0.309718956194045,0.341906278872356,0.36529839616818,0.374761083174521,0.358634067936588,0.343774984744292,,0.367980098525195,0.221767628902832,0.00838232111735258,0,FALSE,FALSE,FALSE,TRUE
