"Season","Rep","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Pre-growing season",1,2246,TRUE,TRUE,TRUE,1940.96125746653,1945.67832302183,1938.61406956536,1942.65593970775,0.774133596191878,0.774574050621066,0.774084934087804,0.774156055624528,,,,,0.140746774766931,0.143501151982686,0.193208713556464,0.196600224172,0.271786196304021,0.27416979617394,0.273185652989061,0.272629325148876,0.591999787678925,0.592263323201616,0.362009343310227,0.34387654766066,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",2,2246,TRUE,TRUE,TRUE,1893.38338705093,1892.43833495182,1889.81043646133,1888.69604712774,0.767085183684654,0.768804092865675,0.767246454340082,0.768528752722262,,,,,0.142945402458658,0.159933290364958,0.188550597833995,0.200184772057999,0.279382621205233,0.298591062011039,0.271367868929557,0.282531893724214,0.622883199063657,0.650356389434771,0.373930670195305,0.377593330075051,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",3,2246,TRUE,TRUE,TRUE,1794.10626891548,1793.54501222575,1789.25536927133,1787.85229289934,0.770257398928174,0.772063380039247,0.768708185584283,0.770861305240931,,,,,0.13529826536785,0.144518895361047,0.191720379248826,0.196440052832491,0.2713768220592,0.273129122317926,0.265446568204103,0.263589949483889,0.614419800099535,0.582098829825424,0.330199859076087,0.299988172377085,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",4,2246,TRUE,TRUE,TRUE,1976.34352764886,1977.30306407703,1972.81910921122,1973.89014489471,0.734728142387661,0.73708066248007,0.734070868447597,0.736557446393128,,,,,0.115592258544464,0.122063842133377,0.154631826304991,0.158022503320347,0.187016403181886,0.191763826879948,0.19264617403474,0.195367872723948,0.289029223146502,0.28370885437074,0.154903819363012,0.152692561702649,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",5,2246,TRUE,TRUE,TRUE,2009.60007546583,2009.0287665552,2005.52090808483,2005.14887286931,0.753817361198078,0.756493403817424,0.753038140090293,0.755577566021912,,,,,0.0792268633443771,0.0934972751810751,0.134780300682187,0.144326150740884,0.227721077230539,0.252833401895535,0.217148745982701,0.233769661305946,0.632577645069583,0.701576926958953,0.34614663005992,0.384032503431619,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",6,2246,TRUE,TRUE,TRUE,1954.66606220517,1958.64625794161,1951.07673630656,1955.18424312968,0.76930458573237,0.770316519661889,0.768394738454,0.769252266323656,,,,,0.100671468684056,0.104164335325137,0.165462115557677,0.16554408870607,0.277634057802635,0.288358876121308,0.267486776514685,0.271533021149543,0.805939965866473,0.85151873582492,0.458213818088678,0.478662206378276,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",7,2246,TRUE,TRUE,TRUE,1951.70043470186,1953.92555363321,1947.61790456155,1949.71440570251,0.766736783415277,0.767641542906381,0.764724517208171,0.766136144761519,,,,,0.130895344138523,0.135319115425545,0.179232378019465,0.181882168231672,0.242975582210221,0.24900749384042,0.236316738173006,0.239446128730226,0.487077028143602,0.498033962058275,0.245913491612083,0.248999901844398,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",8,2246,TRUE,TRUE,TRUE,1872.58685314184,1875.74117128479,1867.37269702336,1870.18446836854,0.77496660591026,0.776560968066696,0.774169095826232,0.775539734031703,,,,,0.144350213623639,0.150209116134778,0.203312958468749,0.207876545744878,0.284768285723379,0.292030266755119,0.276633695326392,0.280512923521796,0.645884307945233,0.659029422022854,0.333462526756686,0.3321311979155,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",9,2246,TRUE,TRUE,TRUE,1935.4368019482,1939.42066276397,1933.20226541182,1937.49634668808,0.741391038739664,0.741821817662068,0.741379127801717,0.741767556722533,,,,,0.121240018893175,0.122537819702834,0.156890830486065,0.156629650647585,0.22401261591007,0.228851277809396,0.215562584648672,0.218482242497183,0.435713645447499,0.453553572667907,0.246064670794907,0.260373956904994,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",10,2246,TRUE,TRUE,TRUE,1827.40864236026,1832.66860555835,1826.96790144352,1831.9170525677,0.777407785842516,0.777186604844542,0.777601828067733,0.777363006867466,,,,,0.125529601830936,0.126132968648029,0.172487237411405,0.172895776447931,0.269099898688903,0.265734415263424,0.269490963555351,0.265058211074025,0.646226951851694,0.625482604911531,0.436859027841687,0.412552750937414,FALSE,FALSE,FALSE,FALSE
