"Analysis","Season","Observations","Sites","Storm_Variables","Agricultural_Variables","Site_Variables","Formula","Singular"
"Runoff occurrence","Pre-growing season",5086,28,"log_I30 + log_ARFdays7 + Frozen","Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_ARFdays7 + Frozen + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff occurrence","Growing season",5827,28,"log_I30 + log_ARFdays7","Tillage_Passes + PerennialFrac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_ARFdays7 + Tillage_Passes + PerennialFrac +     MeanSlope_per + Hydrologic_Group + Tile + (1 | Field_Name)",FALSE
"Runoff occurrence","Post-growing season",2246,26,"log_I30 + log_ARFdays7 + Frozen","Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","Q_Occurred ~ log_I30 + log_ARFdays7 + Frozen + Tillage_Passes +     PerennialFrac + Residue_Frac + MeanSlope_per + Hydrologic_Group +     Tile + (1 | Field_Name)",FALSE
"Runoff coefficient","Pre-growing season",626,28,"log_I30 + log_ARFdays7 + Frozen","Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_ARFdays7 + Frozen + Tillage_Passes + PerennialFrac +     Residue_Frac + MeanSlope_per + Hydrologic_Group + Tile +     (1 | Field_Name)",FALSE
"Runoff coefficient","Growing season",572,27,"log_I30 + log_ARFdays7","Tillage_Passes + PerennialFrac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_ARFdays7 + Tillage_Passes + PerennialFrac +     MeanSlope_per + Hydrologic_Group + Tile + (1 | Field_Name)",FALSE
"Runoff coefficient","Post-growing season",135,24,"log_I30 + log_ARFdays7 + Frozen","Tillage_Passes + PerennialFrac + Residue_Frac","MeanSlope_per + Hydrologic_Group + Tile","log_RC ~ log_I30 + log_ARFdays7 + Frozen + Tillage_Passes + PerennialFrac +     Residue_Frac + MeanSlope_per + Hydrologic_Group + Tile +     (1 | Field_Name)",FALSE
